time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330050834011449,,,,,,,,,,,,,,,,,,,start,,
1582330050836073000,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050839548790,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050845977689,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050849641709,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050856997280,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050859857425,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050865553438,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050869876491,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050879440180,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050880319851,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050890259363,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050891439834,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050900367030,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050900632615,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050908119356,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050910389049,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050915168812,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050920492955,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050925503914,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050930630497,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050936223216,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050940760546,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050950152287,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050951076556,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050961028301,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050962855763,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050971151893,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050971285614,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050978488197,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050981242232,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050986098578,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330050991332312,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330050995425180,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051001536911,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051005479522,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051011749527,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051016210611,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051021810783,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051026216986,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051032494615,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051039507089,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051042440361,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051052406176,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051055216994,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051062490066,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051064190295,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051071735506,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051072606540,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051078638068,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051082680835,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051085800347,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051093289732,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051098101397,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051103148023,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051112468797,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051113147234,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051121670335,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051123313103,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051128445141,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051133396598,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051136020042,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051143523016,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051145480119,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051154038559,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051160197637,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051163947322,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051171936542,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051174070009,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051182251651,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051184156813,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051189530387,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051194222058,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051195682153,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051204395291,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051206161940,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051214927049,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051220333931,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051224888826,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051231471734,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051234936418,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051241218369,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051244999306,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051248407654,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051255281185,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051255470127,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051265350328,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051265445792,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051275867818,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051280324804,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051285816434,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051292490162,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051295940093,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051300915259,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
1582330051305982306,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330051308217880,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,x,,,,,,,,,,,,,
