time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
1582330694162704862,,,,,,,,,,,,,,,,,,,start,,
1582330694166209785,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694168543499,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694178611958,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694178950219,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694187390798,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694188643494,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694199359232,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694200575532,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694209185287,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694215786615,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694219213684,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694223983203,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694229267455,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694232118205,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694238862480,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694239399088,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694247140463,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694249503551,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694257273108,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694259778140,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694267179397,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694269727440,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694277130225,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694279915443,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694287282072,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694290012924,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694297124864,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694300151971,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694307184149,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694310296909,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694317252650,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694320316045,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694327212114,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694330455337,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694337644003,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694340690121,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694347875989,"[7.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,,,,,,,
1582330694350689390,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582330694361721373,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
