time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328711281123373,,,,,,,,,,,,,start,,
1582328711283033015,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711289492336,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711290220436,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711300342617,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711305294398,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711310421116,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711320407517,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711328914366,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711330236936,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711340285611,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711341984740,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711350392697,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711350745351,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711360528208,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711361313970,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711371052449,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711375921327,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711381091693,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711391308699,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711392261063,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711401528033,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711411385812,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711411645174,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711421583038,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711423305076,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711431674255,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711434172849,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711441756630,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711443893897,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711451889878,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711452640431,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711461975092,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711462540706,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711472137285,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711473468396,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711482210613,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711483982620,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711492360416,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711492927573,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711502502234,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711503630747,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711512664620,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711512692532,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711522796994,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711523232658,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711532591481,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711532831149,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711542670781,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711542966987,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711552533608,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711553029493,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711562569043,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711563207399,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711572702935,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711573324364,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711582594242,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711583412635,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711593394467,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711593669279,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711603456179,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711603801932,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711613405011,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711613795743,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711623401514,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711624043482,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711632736022,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711634227749,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711643314564,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711644359022,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711653189510,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711654477173,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711662485035,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711664554749,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711673298250,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711674626596,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711682791699,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711684747685,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711692582321,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711694842968,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711702583765,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711704995526,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711713355802,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711715019887,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711723458208,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711725166743,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711733322983,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711735316774,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711742673069,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711745522112,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711752649837,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711755482953,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711762782064,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711765610577,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711772711685,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711775694278,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711783466500,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711785834438,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711792499467,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711795845373,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711802756772,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711806026702,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711812886649,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711816134212,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711823146524,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711826235480,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711837280850,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711837885140,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711847379242,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711857143439,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711861636684,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711867172200,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711870965408,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711877211179,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711879449994,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711886439524,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711887267056,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711893218753,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711897701848,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711900052820,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
1582328711907443372,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328711907570247,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,y,,,,,,,
