time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
1582328830402883821,,,,,,,,,,,,,,start,,
1582328830406073409,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830408545531,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830416033111,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830419207765,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830426059742,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830429580687,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830436198762,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830439473179,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830446357438,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830448698569,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830456445712,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830458777765,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830466623483,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830468676389,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830476758836,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830478652337,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830486862851,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830488551030,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
1582328830497063467,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
1582328830498790648,"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
