time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,optimal_a,u_intended,normalized_h,u_corrected,is_corrected_or_filtered,is_u_intended_equals_um,trial_marker,sip_puff_before_frame_id,user_vel
0.0,,,,,,,,,,,,,,,,,,,,start,,
0.005062580109999715,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.014706373219999236,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.024686574939998707,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.03497576713999884,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.040043115619999625,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,,,,,,,
0.04495477677000004,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.05511140824000016,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.0652515888200007,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.0659856796299998,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,,,,,,,
0.07530856133000086,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.08553099633000016,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.09040522575999965,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,,,,,,,
0.09571838379000042,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.10571789741999993,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.11605858803000046,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.11701798438999944,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,,,,,,,
0.1259675026,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.13610315322999966,,,,,,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
