time,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,robot_state_mode,sip_puff_frame_id,sip_puff_axes,sip_puff_buttons,mode_frame_id,mode,trial_marker,sip_puff_before_frame_id,user_vel
0.0,,,,,,,,,,,,,,start,,
0.0021948810000083085,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.0032141209999849707,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.012208462000018017,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.022341251000000284,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.028313875000009148,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.03252816200000552,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.0427086350000252,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.05265140500000598,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.053487300999989884,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.06292724599998678,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.07303595500002302,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.07839059799999859,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.08313322099999709,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.09328532200001405,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.10325956299999461,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.10330605500001866,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.11344242100000201,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.12363648400003058,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.1275210379999976,"[22.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,p0,0.0,t,,,,,,,,
0.13389182099999175,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
0.14386272400003008,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0]"
