rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
7.378865242,,1,,1582910338,249869108,'',"""Soft Puff"""
11.3954179287,,2,,1582910342,266980886,'',''
12.4005460739,,3,,1582910343,269815921,'',"""Hard Sip"""
16.410066843,,4,,1582910347,281363010,'',''
17.4135396481,,5,,1582910348,283684015,'',"""Hard Puff"""
21.4285109043,,6,,1582910352,299504995,'',''
22.4321770668,,7,,1582910353,302136898,'',"""Soft Sip"""
26.4417450428,,8,,1582910357,313397884,'',''
27.4472372532,,9,,1582910358,315839052,'',"""Hard Sip"""
31.4556910992,,10,,1582910362,326102972,'',''
32.4590117931,,11,,1582910363,329457044,'',"""Soft Puff"""
36.4742128849,,12,,1582910367,344948053,'',''
37.4788067341,,13,,1582910368,347944021,'',"""Hard Puff"""
41.4899082184,,14,,1582910372,361335992,'',''
42.493935585,,15,,1582910373,362870931,'',"""Soft Sip"""
46.5028188229,,16,,1582910377,373488903,'',''
47.5067915916,,17,,1582910378,376662969,'',"""Soft Sip"""
51.5170414448,,18,,1582910382,387697935,'',''
52.5195345879,,19,,1582910383,390983104,'',"""Hard Sip"""
56.5344705582,,20,,1582910387,405348062,'',''
57.5374424458,,21,,1582910388,408442974,'',"""Hard Puff"""
61.5439100266,,22,,1582910392,415380954,'',''
62.5491616726,,23,,1582910393,417449951,'',"""Soft Puff"""
66.5579710007,,24,,1582910397,429343938,'',''
67.5634434223,,25,,1582910398,431610107,'',"""Hard Puff"""
71.5760033131,,26,,1582910402,446620941,'',''
72.5813603401,,27,,1582910403,449670076,'',"""Soft Sip"""
76.5914928913,,28,,1582910407,462086915,'',''
77.5960128307,,29,,1582910408,465343952,'',"""Soft Puff"""
81.6102511883,,30,,1582910412,481388092,'',''
82.6117765903,,31,,1582910413,483237028,'',"""Hard Sip"""
86.6248686314,,32,,1582910417,496646881,'',''
87.6277737617,,33,,1582910418,498848915,'',"""Hard Puff"""
91.6322822571,,34,,1582910422,503802061,'',''
92.634039402,,35,,1582910423,505909919,'',"""Soft Puff"""
96.6399712563,,36,,1582910427,511512994,'',''
97.6418464184,,37,,1582910428,512378931,'',"""Hard Sip"""
101.64707756,,38,,1582910432,518651962,'',''
