rosbagTimestamp,data
8.18779087067,"""47.pkl"""
13.3127279282,"""16.pkl"""
19.3760237694,"""13.pkl"""
23.1669607162,"""43.pkl"""
26.3886368275,"""3.pkl"""
29.9521634579,"""8.pkl"""
33.9161059856,"""26.pkl"""
37.5125219822,"""36.pkl"""
40.5656938553,"""11.pkl"""
44.4147787094,"""34.pkl"""
47.6883964539,"""27.pkl"""
50.4576311111,"""22.pkl"""
53.7217974663,"""24.pkl"""
58.0442583561,"""6.pkl"""
62.8814077377,"""0.pkl"""
66.1771996021,"""7.pkl"""
69.5133771896,"""17.pkl"""
72.5809838772,"""29.pkl"""
75.6946189404,"""21.pkl"""
79.4243917465,"""42.pkl"""
83.2659666538,"""30.pkl"""
86.0363669395,"""44.pkl"""
88.6454863548,"""25.pkl"""
91.9363393784,"""4.pkl"""
95.6219973564,"""18.pkl"""
100.501160622,"""14.pkl"""
104.676522493,"""9.pkl"""
109.214716911,"""39.pkl"""
112.813973665,"""1.pkl"""
117.281489611,"""5.pkl"""
121.638875008,"""12.pkl"""
125.626083851,"""2.pkl"""
129.031017542,"""15.pkl"""
132.758440256,"""32.pkl"""
136.050233841,"""10.pkl"""
141.011624336,"""20.pkl"""
144.291195631,"""40.pkl"""
148.123516321,"""46.pkl"""
151.582587004,"""28.pkl"""
155.918654919,"""38.pkl"""
159.134644032,"""33.pkl"""
162.174458504,"""35.pkl"""
165.442609787,"""19.pkl"""
171.045187235,"""45.pkl"""
175.188453197,"""37.pkl"""
178.823642492,"""31.pkl"""
181.870086908,"""41.pkl"""
185.473467827,"""23.pkl"""
