rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
8.16637015343,,1,,1583011333,745157003,'',"""yt"""
13.4248127937,,2,,1583011339,3158092,'',"""xy"""
16.3928141594,,3,,1583011341,972719907,'',"""CLOCKWISE"""
19.9676375389,,4,,1583011345,548146009,'',"""yx"""
23.2116820812,,5,,1583011348,792207956,'',"""CLOCKWISE"""
26.760576725,,6,,1583011352,340895891,'',"""ty"""
29.786796093,,7,,1583011355,367182016,'',"""xt"""
32.9491474628,,8,,1583011358,529643058,'',"""CLOCKWISE"""
36.5528366566,,9,,1583011362,133045911,'',"""UP"""
40.3508756161,,10,,1583011365,930154085,'',"""yx"""
43.2050011158,,11,,1583011368,785456895,'',"""UP"""
47.6549425125,,12,,1583011373,235399961,'',"""DOWN"""
51.0002198219,,13,,1583011376,580688953,'',"""xy"""
54.1490533352,,14,,1583011379,729530096,'',"""xt"""
57.8050751686,,15,,1583011383,385550975,'',"""DOWN"""
61.2513256073,,16,,1583011386,831846952,'',"""RIGHT"""
65.6384732723,,17,,1583011391,218965053,'',"""yt"""
68.7930574417,,18,,1583011394,373549938,'',"""yt"""
71.8154323101,,19,,1583011397,395939111,'',"""ty"""
74.8974363804,,20,,1583011400,477919101,'',"""xy"""
77.7200014591,,21,,1583011403,300513029,'',"""LEFT"""
83.0073382854,,22,,1583011408,587851047,'',"""yx"""
86.3924782276,,23,,1583011411,972997903,'',"""yx"""
89.3356230259,,24,,1583011414,915689945,'',"""RIGHT"""
93.5619280338,,25,,1583011419,141324043,'',"""xt"""
96.6357247829,,26,,1583011422,216181993,'',"""RIGHT"""
100.678652763,,27,,1583011426,259166002,'',"""LEFT"""
106.35209322,,28,,1583011431,931466102,'',"""ty"""
109.685936689,,29,,1583011435,266426086,'',"""CLOCKWISE"""
113.124808788,,30,,1583011438,705243110,'',"""COUNTERCLOCKWISE"""
116.224994421,,31,,1583011441,805461883,'',"""COUNTERCLOCKWISE"""
119.394678354,,32,,1583011444,975162982,'',"""tx"""
122.366906166,,33,,1583011447,947182893,'',"""LEFT"""
127.416724443,,34,,1583011452,996329069,'',"""UP"""
131.162094831,,35,,1583011456,742196083,'',"""tx"""
134.154048204,,36,,1583011459,734395980,'',"""LEFT"""
137.944279194,,37,,1583011463,524763107,'',"""xt"""
141.201720476,,38,,1583011466,781968116,'',"""COUNTERCLOCKWISE"""
144.480629206,,39,,1583011470,60971021,'',"""DOWN"""
148.508259773,,40,,1583011474,88639974,'',"""xy"""
151.394168139,,41,,1583011476,973740100,'',"""UP"""
155.112158298,,42,,1583011480,692480087,'',"""DOWN"""
158.359469891,,43,,1583011483,939747095,'',"""yt"""
161.450745344,,44,,1583011487,31267881,'',"""ty"""
164.266110897,,45,,1583011489,846579074,'',"""tx"""
167.11797142,,46,,1583011492,698496103,'',"""RIGHT"""
171.334910154,,47,,1583011496,915422916,'',"""tx"""
174.304290295,,48,,1583011499,883830070,'',"""COUNTERCLOCKWISE"""
