rosbagTimestamp,data
8.16660952568,"""start"""
11.9005343914,"""end"""
13.4225986004,"""start"""
14.8698055744,"""end"""
16.3923602104,"""start"""
18.9396595955,"""end"""
19.9675607681,"""start"""
21.6913647652,"""end"""
23.2116279602,"""start"""
25.7283046246,"""end"""
26.7604985237,"""start"""
28.2632908821,"""end"""
29.7868101597,"""start"""
31.432333231,"""end"""
32.9490580559,"""start"""
35.5190782547,"""end"""
36.552870512,"""start"""
39.3218536377,"""end"""
40.3495666981,"""start"""
41.6902329922,"""end"""
43.2050149441,"""start"""
46.6282048225,"""end"""
47.6548900604,"""start"""
49.9633600712,"""end"""
51.0001206398,"""start"""
52.6319103241,"""end"""
54.1489565372,"""start"""
56.2851324081,"""end"""
57.8049654961,"""start"""
60.2216079235,"""end"""
61.2512636185,"""start"""
64.60785079,"""end"""
65.6383986473,"""start"""
67.2765550613,"""end"""
68.7929375172,"""start"""
70.2955191135,"""end"""
71.8167915344,"""start"""
73.3810243607,"""end"""
74.8974449635,"""start"""
76.200104475,"""end"""
77.7199258804,"""start"""
81.9709455967,"""end"""
83.0072731972,"""start"""
84.8731732368,"""end"""
86.3924860954,"""start"""
87.808753252,"""end"""
89.3351380825,"""start"""
92.5290880203,"""end"""
93.5607395172,"""start"""
95.114461422,"""end"""
96.6356155872,"""start"""
99.6506228447,"""end"""
100.678669691,"""start"""
105.321778297,"""end"""
106.350884199,"""start"""
108.174283028,"""end"""
109.685852766,"""start"""
112.094185591,"""end"""
113.124659538,"""start"""
115.196038008,"""end"""
116.224877834,"""start"""
118.365593672,"""end"""
119.394585848,"""start"""
120.850806475,"""end"""
122.366601706,"""start"""
126.387975454,"""end"""
127.415748835,"""start"""
130.124589682,"""end"""
131.161689997,"""start"""
132.643208504,"""end"""
134.153813362,"""start"""
136.913182735,"""end"""
137.944179535,"""start"""
139.678246498,"""end"""
141.201613665,"""start"""
143.450760603,"""end"""
144.480433226,"""start"""
147.471006632,"""end"""
148.508280516,"""start"""
149.87315774,"""end"""
151.393167257,"""start"""
154.077263355,"""end"""
155.111939907,"""start"""
157.328342915,"""end"""
158.359192848,"""start"""
159.930710554,"""end"""
161.45068121,"""start"""
162.749503613,"""end"""
164.265996456,"""start"""
165.6017735,"""end"""
167.117908716,"""start"""
170.305963993,"""end"""
171.334841728,"""start"""
172.790361881,"""end"""
174.304290533,"""start"""
177.260250092,"""end"""
