rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582835801535302611,,1,,1582835801,535190500,'',"[0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801542296412,,2,,1582835801,542208621,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801546346509,,3,,1582835801,546275289,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801548278999,,4,,1582835801,548222413,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801554320529,,5,,1582835801,554225544,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801556306029,,6,,1582835801,556233116,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801562288952,,7,,1582835801,562227836,'',"[0.012485282495617867, 0.012485282495617867]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801564332506,,8,,1582835801,564245423,'',"[0.023343447595834732, 0.023343447595834732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801568306702,,9,,1582835801,568220231,'',"[0.03420161083340645, 0.03420161083340645]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801572281777,,10,,1582835801,572223000,'',"[0.04505977779626846, 0.04505977779626846]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801574272847,,11,,1582835801,574213343,'',"[0.05591794103384018, 0.05591794103384018]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801578327439,,12,,1582835801,578234530,'',"[0.06674397736787796, 0.06674397736787796]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801580281864,,13,,1582835801,580219903,'',"[0.07760214805603027, 0.07760214805603027]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801582272622,,14,,1582835801,582214536,'',"[0.08846031129360199, 0.08846031129360199]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801586278587,,15,,1582835801,586225689,'',"[0.0993184745311737, 0.0993184745311737]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801588281023,,16,,1582835801,588225794,'',"[0.11017663776874542, 0.11017663776874542]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801590315733,,17,,1582835801,590214803,'',"[0.12103480100631714, 0.12103480100631714]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801594319613,,18,,1582835801,594233956,'',"[0.13186083734035492, 0.13186083734035492]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801596378322,,19,,1582835801,596254404,'',"[0.14271900057792664, 0.14271900057792664]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801598308683,,20,,1582835801,598234615,'',"[0.15357716381549835, 0.15357716381549835]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801600318559,,21,,1582835801,600231464,'',"[0.17529350519180298, 0.17529350519180298]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801604307532,,22,,1582835801,604228231,'',"[0.18611954152584076, 0.18611954152584076]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801606275706,,23,,1582835801,606215439,'',"[0.19697770476341248, 0.19697770476341248]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801608292022,,24,,1582835801,608224900,'',"[0.2078358680009842, 0.2078358680009842]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801612349685,,25,,1582835801,612227259,'',"[0.22955219447612762, 0.22955219447612762]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801614348898,,26,,1582835801,614259355,'',"[0.2403782308101654, 0.2403782308101654]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801616281880,,27,,1582835801,616211909,'',"[0.2512364089488983, 0.2512364089488983]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801620327817,,28,,1582835801,620226576,'',"[0.26209455728530884, 0.26209455728530884]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801622341721,,29,,1582835801,622233667,'',"[0.27295273542404175, 0.27295273542404175]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801624277211,,30,,1582835801,624217460,'',"[0.28381088376045227, 0.28381088376045227]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801626341864,,31,,1582835801,626217653,'',"[0.2946690618991852, 0.2946690618991852]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801630354896,,32,,1582835801,630257760,'',"[0.30549511313438416, 0.30549511313438416]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801632332684,,33,,1582835801,632240437,'',"[0.3163532614707947, 0.3163532614707947]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801638310275,,34,,1582835801,638235067,'',"[0.3272114396095276, 0.3272114396095276]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801642297790,,35,,1582835801,642222892,'',"[0.3380695879459381, 0.3380695879459381]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801648305614,,36,,1582835801,648217159,'',"[0.348927766084671, 0.348927766084671]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801658342060,,37,,1582835801,658229655,'',"[0.3597537875175476, 0.3597537875175476]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801668311614,,38,,1582835801,668234819,'',"[0.3706119656562805, 0.3706119656562805]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801674326007,,39,,1582835801,674245263,'',"[0.38147011399269104, 0.38147011399269104]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801680314969,,40,,1582835801,680219462,'',"[0.39232829213142395, 0.39232829213142395]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801684300184,,41,,1582835801,684230671,'',"[0.4031864404678345, 0.4031864404678345]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801690313849,,42,,1582835801,690233744,'',"[0.4140446186065674, 0.4140446186065674]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801692301010,,43,,1582835801,692235953,'',"[0.42487066984176636, 0.42487066984176636]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801694293609,,44,,1582835801,694224100,'',"[0.4357288181781769, 0.4357288181781769]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801698383681,,45,,1582835801,698219667,'',"[0.4465869963169098, 0.4465869963169098]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801700293799,,46,,1582835801,700224631,'',"[0.4574451446533203, 0.4574451446533203]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801702279907,,47,,1582835801,702211286,'',"[0.4683033227920532, 0.4683033227920532]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801706284064,,48,,1582835801,706215091,'',"[0.4791293442249298, 0.4791293442249298]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801708328979,,49,,1582835801,708235086,'',"[0.5008456707000732, 0.5008456707000732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582835801710299404,,50,,1582835801,710224765,'',"[0.5117038488388062, 0.5117038488388062]","[0, 1, 0, 0, 0, 0, 0, 0]"
