rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
10.047239542,,1,,1582823586,956828096,'',"[0.0, 0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0502305031,,2,,1582823586,959862717,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0542809963,,3,,1582823586,963890212,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0563077927,,4,,1582823586,965904990,'',"[-0.012453158386051655, -0.012453158386051655]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0582661629,,5,,1582823586,967898590,'',"[-0.03416948765516281, -0.03416948765516281]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0642998219,,6,,1582823586,973877853,'',"[-0.06671185791492462, -0.06671185791492462]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0662872791,,7,,1582823586,975890181,'',"[-0.08842818439006805, -0.08842818439006805]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.072283268,,8,,1582823586,981901458,'',"[-0.1426868885755539, -0.1426868885755539]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0742504597,,9,,1582823586,983876412,'',"[-0.17526137828826904, -0.17526137828826904]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0762443542,,10,,1582823586,985888619,'',"[-0.19694557785987854, -0.19694557785987854]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0802357197,,11,,1582823586,989862872,'',"[-0.2295200675725937, -0.2295200675725937]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0822823048,,12,,1582823586,991885984,'',"[-0.2620624303817749, -0.2620624303817749]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0842556953,,13,,1582823586,993882829,'',"[-0.28377875685691833, -0.28377875685691833]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0862808228,,14,,1582823586,995893264,'',"[-0.31632113456726074, -0.31632113456726074]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0902106762,,15,,1582823586,999864912,'',"[-0.3488956391811371, -0.3488956391811371]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0922396183,,16,,1582823587,1869080,'',"[-0.3705798387527466, -0.3705798387527466]","[1, 0, 0, 0, 0, 0, 0, 0]"
10.0943117142,,17,,1582823587,3907673,'',"[-0.4031543433666229, -0.4031543433666229]","[1, 0, 0, 0, 0, 0, 0, 0]"
