rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582822142153111077,,1,,1582822142,152069091,'',"""UP"""
1582822148203374537,,2,,1582822148,203257083,'',"""xt"""
1582822151174019880,,3,,1582822151,172686100,'',"""yt"""
1582822154061871974,,4,,1582822154,60847997,'',"""RIGHT"""
1582822158158116131,,5,,1582822158,157977104,'',"""xy"""
1582822161447243705,,6,,1582822161,447102069,'',"""ty"""
1582822164175187045,,7,,1582822164,174782037,'',"""tx"""
1582822167124891001,,8,,1582822167,124464988,'',"""DOWN"""
1582822172755067137,,9,,1582822172,754980087,'',"""RIGHT"""
1582822178759393842,,10,,1582822178,759144067,'',"""RIGHT"""
1582822182837491956,,11,,1582822182,836688041,'',"""CLOCKWISE"""
1582822188113849770,,12,,1582822188,113748073,'',"""CLOCKWISE"""
1582822192772800926,,13,,1582822192,772358894,'',"""yx"""
1582822195779162857,,14,,1582822195,778764009,'',"""UP"""
1582822200141654180,,15,,1582822200,141557931,'',"""LEFT"""
1582822206179991579,,16,,1582822206,179749965,'',"""DOWN"""
1582822211367051736,,17,,1582822211,366946935,'',"""ty"""
1582822214504988172,,18,,1582822214,504892110,'',"""COUNTERCLOCKWISE"""
1582822219810300183,,19,,1582822219,810147047,'',"""yt"""
1582822222602744457,,20,,1582822222,602422952,'',"""LEFT"""
1582822228652926340,,21,,1582822228,652754068,'',"""CLOCKWISE"""
1582822233839308614,,22,,1582822233,839006900,'',"""xt"""
1582822237076785824,,23,,1582822237,76670885,'',"""COUNTERCLOCKWISE"""
1582822241328135617,,24,,1582822241,326529979,'',"""CLOCKWISE"""
1582822244942010008,,25,,1582822244,941914081,'',"""xt"""
1582822247734008372,,26,,1582822247,733907938,'',"""yt"""
1582822250558212192,,27,,1582822250,557889938,'',"""yx"""
1582822253427293847,,28,,1582822253,427069902,'',"""xt"""
1582822256111809693,,29,,1582822256,111526966,'',"""UP"""
1582822259690309907,,30,,1582822259,690126895,'',"""LEFT"""
1582822265738282441,,31,,1582822265,738178968,'',"""ty"""
1582822268985270528,,32,,1582822268,984942913,'',"""COUNTERCLOCKWISE"""
1582822275039624833,,33,,1582822275,36911964,'',"""yx"""
1582822277809434103,,34,,1582822277,809132099,'',"""xy"""
1582822280808135423,,35,,1582822280,806850910,'',"""yx"""
1582822283436207864,,36,,1582822283,435766935,'',"""LEFT"""
1582822289475831397,,37,,1582822289,475739002,'',"""DOWN"""
1582822293246956649,,38,,1582822293,246834993,'',"""UP"""
1582822297221753766,,39,,1582822297,221231937,'',"""tx"""
1582822300369575100,,40,,1582822300,369220972,'',"""RIGHT"""
1582822304621473493,,41,,1582822304,621366977,'',"""ty"""
1582822307678621726,,42,,1582822307,678534984,'',"""xy"""
1582822310501148832,,43,,1582822310,500916957,'',"""DOWN"""
1582822315380066335,,44,,1582822315,379971981,'',"""tx"""
1582822318554135575,,45,,1582822318,554042100,'',"""COUNTERCLOCKWISE"""
1582822322788702652,,46,,1582822322,788363933,'',"""tx"""
1582822325721930177,,47,,1582822325,720612049,'',"""xy"""
1582822328948856377,,48,,1582822328,948753118,'',"""yt"""
