rosbagTimestamp,data
8.13151860237,"""2.pkl"""
14.1818208694,"""30.pkl"""
17.1524488926,"""39.pkl"""
20.0393645763,"""8.pkl"""
24.1365540028,"""25.pkl"""
27.4256412983,"""47.pkl"""
30.1549479961,"""42.pkl"""
33.1040050983,"""7.pkl"""
38.733522892,"""9.pkl"""
44.7378790379,"""11.pkl"""
48.8154308796,"""20.pkl"""
54.0923132896,"""21.pkl"""
58.7518734932,"""33.pkl"""
61.7575712204,"""3.pkl"""
66.1200966835,"""15.pkl"""
72.1583719254,"""5.pkl"""
77.3454933167,"""45.pkl"""
80.483453989,"""17.pkl"""
85.7888333797,"""38.pkl"""
88.5824921131,"""12.pkl"""
94.6314032078,"""22.pkl"""
99.8176863194,"""29.pkl"""
103.056122065,"""19.pkl"""
107.305136442,"""23.pkl"""
110.920473576,"""28.pkl"""
113.712458611,"""36.pkl"""
116.536653757,"""34.pkl"""
119.405787468,"""31.pkl"""
122.090266705,"""0.pkl"""
125.668804884,"""14.pkl"""
131.716745138,"""46.pkl"""
134.963704824,"""16.pkl"""
141.015622377,"""35.pkl"""
143.791653633,"""24.pkl"""
146.785365582,"""32.pkl"""
149.416874409,"""13.pkl"""
155.45430088,"""6.pkl"""
159.226219893,"""1.pkl"""
163.201683283,"""41.pkl"""
166.347973108,"""10.pkl"""
170.601074457,"""44.pkl"""
173.657083035,"""27.pkl"""
176.479780912,"""4.pkl"""
181.358524799,"""40.pkl"""
184.532573938,"""18.pkl"""
188.768998146,"""43.pkl"""
191.699140787,"""26.pkl"""
194.928441525,"""37.pkl"""
