rosbagTimestamp,data
1582822142152529521,"""start"""
1582822147173097494,"""end"""
1582822148203283357,"""start"""
1582822149657787334,"""end"""
1582822151172704947,"""start"""
1582822152543311229,"""end"""
1582822154060874847,"""start"""
1582822157130074062,"""end"""
1582822158158001304,"""start"""
1582822159932181770,"""end"""
1582822161447122556,"""start"""
1582822162650968755,"""end"""
1582822164174898706,"""start"""
1582822165603641766,"""end"""
1582822167124943687,"""start"""
1582822171724941986,"""end"""
1582822172755003629,"""start"""
1582822177729402572,"""end"""
1582822178759212961,"""start"""
1582822181798875020,"""end"""
1582822182836916029,"""start"""
1582822187085786764,"""end"""
1582822188113788395,"""start"""
1582822191739620778,"""end"""
1582822192772441539,"""start"""
1582822194258449225,"""end"""
1582822195778844141,"""start"""
1582822199111756650,"""end"""
1582822200141583909,"""start"""
1582822205150452091,"""end"""
1582822206179785675,"""start"""
1582822210337318231,"""end"""
1582822211366973925,"""start"""
1582822212989420826,"""end"""
1582822214504919362,"""start"""
1582822218776921913,"""end"""
1582822219810286924,"""start"""
1582822221078969965,"""end"""
1582822222602491651,"""start"""
1582822227617577242,"""end"""
1582822228652797965,"""start"""
1582822232805186475,"""end"""
1582822233839068270,"""start"""
1582822235556910936,"""end"""
1582822237076696197,"""start"""
1582822240293248099,"""end"""
1582822241326705582,"""start"""
1582822243913305662,"""end"""
1582822244941936195,"""start"""
1582822246219117049,"""end"""
1582822247733931726,"""start"""
1582822249034377374,"""end"""
1582822250558133206,"""start"""
1582822251902586712,"""end"""
1582822253427328414,"""start"""
1582822254587987865,"""end"""
1582822256111615904,"""start"""
1582822258657627881,"""end"""
1582822259690170505,"""start"""
1582822264712823126,"""end"""
1582822265738203756,"""start"""
1582822267464494138,"""end"""
1582822268985005733,"""start"""
1582822274002634584,"""end"""
1582822275036974287,"""start"""
1582822276288008112,"""end"""
1582822277809367357,"""start"""
1582822279290771819,"""end"""
1582822280808099044,"""start"""
1582822281908871796,"""end"""
1582822283436176392,"""start"""
1582822288447069118,"""end"""
1582822289475767841,"""start"""
1582822292217254830,"""end"""
1582822293247866441,"""start"""
1582822296186402237,"""end"""
1582822297222007914,"""start"""
1582822298855360211,"""end"""
1582822300369246471,"""start"""
1582822303592221647,"""end"""
1582822304621394438,"""start"""
1582822306160667159,"""end"""
1582822307678565508,"""start"""
1582822308979408396,"""end"""
1582822310501176012,"""start"""
1582822314350301867,"""end"""
1582822315379991854,"""start"""
1582822317035629315,"""end"""
1582822318554066993,"""start"""
1582822321756061928,"""end"""
1582822322788474010,"""start"""
1582822324207876308,"""end"""
1582822325720758644,"""start"""
1582822327426992172,"""end"""
1582822328948863442,"""start"""
1582822330796289043,"""end"""
