rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582825996497640738,,1,,1582825996,495852947,'',"""Hard Puff"""
1582826000513497394,,2,,1582826000,511989116,'',''
1582826001518123371,,3,,1582826001,515381097,'',"""Hard Sip"""
1582826005530855844,,4,,1582826005,529455900,'',''
1582826006535297333,,5,,1582826006,532608985,'',"""Soft Sip"""
1582826010544861927,,6,,1582826010,543838024,'',''
1582826011550464169,,7,,1582826011,546562910,'',"""Soft Puff"""
1582826015559991111,,8,,1582826015,558859109,'',''
1582826016565116118,,9,,1582826016,561805963,'',"""Soft Sip"""
1582826020574176158,,10,,1582826020,573343038,'',''
1582826021579254143,,11,,1582826021,575558900,'',"""Soft Puff"""
1582826025590635492,,12,,1582826025,589848041,'',''
1582826026593844072,,13,,1582826026,592768907,'',"""Hard Sip"""
1582826030610854976,,14,,1582826030,609220027,'',''
1582826031615754154,,15,,1582826031,611872911,'',"""Hard Puff"""
1582826035625789099,,16,,1582826035,625310897,'',''
1582826036631413116,,17,,1582826036,627573013,'',"""Hard Sip"""
1582826040641722248,,18,,1582826040,640381097,'',''
1582826041644436805,,19,,1582826041,643487930,'',"""Soft Sip"""
1582826045659623430,,20,,1582826045,658480882,'',''
1582826046665018703,,21,,1582826046,661372900,'',"""Soft Puff"""
1582826050675037251,,22,,1582826050,674309015,'',''
1582826051680169814,,23,,1582826051,676412105,'',"""Hard Puff"""
1582826055689662086,,24,,1582826055,689373970,'',''
1582826056693751822,,25,,1582826056,692025899,'',"""Soft Sip"""
1582826060708552292,,26,,1582826060,707540988,'',''
1582826061712038150,,27,,1582826061,710184097,'',"""Hard Puff"""
1582826065723270624,,28,,1582826065,722532987,'',''
1582826066726365528,,29,,1582826066,724891901,'',"""Hard Sip"""
1582826070734061532,,30,,1582826070,733314037,'',''
1582826071739359767,,31,,1582826071,735529899,'',"""Soft Puff"""
1582826075751779252,,32,,1582826075,751591920,'',''
1582826076755079469,,33,,1582826076,753508090,'',"""Soft Puff"""
1582826080764206237,,34,,1582826080,763664007,'',''
1582826081769412090,,35,,1582826081,767179965,'',"""Hard Sip"""
1582826085777524870,,36,,1582826085,777076005,'',''
1582826086778857420,,37,,1582826086,778490066,'',"""Soft Sip"""
1582826090783507979,,38,,1582826090,782500982,'',''
1582826091786265310,,39,,1582826091,785186052,'',"""Hard Puff"""
1582826095796661256,,40,,1582826095,796348094,'',''
1582826096802441582,,41,,1582826096,798604965,'',"""Hard Puff"""
1582826100808755731,,42,,1582826100,808438062,'',''
1582826101813552600,,43,,1582826101,811220884,'',"""Soft Sip"""
1582826105825662804,,44,,1582826105,824575901,'',''
1582826106830442624,,45,,1582826106,827543973,'',"""Soft Puff"""
1582826110835860019,,46,,1582826110,834552049,'',''
1582826111837158511,,47,,1582826111,836654901,'',"""Hard Sip"""
