rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582825997264307244,,1,,1582825997,263940266,'',"[0.0, 0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997269121214,,2,,1582825997,268985287,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997271078144,,3,,1582825997,270925730,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997273069357,,4,,1582825997,272945363,'',"[-0.0016271184431388974, -0.0016271184431388974]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997277029830,,5,,1582825997,276911995,'',"[-0.023311322554945946, -0.023311322554945946]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997279061080,,6,,1582825997,278936521,'',"[-0.03416948765516281, -0.03416948765516281]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997281041316,,7,,1582825997,280927932,'',"[-0.055885814130306244, -0.055885814130306244]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997283069684,,8,,1582825997,282937118,'',"[-0.07757002115249634, -0.07757002115249634]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997289064459,,9,,1582825997,288934446,'',"[-0.1210026741027832, -0.1210026741027832]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997291162247,,10,,1582825997,290939550,'',"[-0.1426868885755539, -0.1426868885755539]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997295018153,,11,,1582825997,294902635,'',"[-0.16440321505069733, -0.16440321505069733]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997297010107,,12,,1582825997,296915225,'',"[-0.18608741462230682, -0.18608741462230682]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997299016206,,13,,1582825997,298920884,'',"[-0.21866190433502197, -0.21866190433502197]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997300995512,,14,,1582825997,300912335,'',"[-0.24034611880779266, -0.24034611880779266]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997305058448,,15,,1582825997,304936434,'',"[-0.2620624303817749, -0.2620624303817749]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997307082071,,16,,1582825997,306934702,'',"[-0.28377875685691833, -0.28377875685691833]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997313080498,,17,,1582825997,312925134,'',"[-0.32717931270599365, -0.32717931270599365]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997315126193,,18,,1582825997,314947743,'',"[-0.3488956391811371, -0.3488956391811371]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997317098006,,19,,1582825997,316935531,'',"[-0.3705798387527466, -0.3705798387527466]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997319115166,,20,,1582825997,318952931,'',"[-0.39229616522789, -0.39229616522789]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997323012913,,21,,1582825997,322909596,'',"[-0.41401249170303345, -0.41401249170303345]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997325020583,,22,,1582825997,324928326,'',"[-0.43569669127464294, -0.43569669127464294]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997331062125,,23,,1582825997,330935786,'',"[-0.4682711958885193, -0.4682711958885193]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997333082094,,24,,1582825997,332953952,'',"[-0.4899553954601288, -0.4899553954601288]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997335136066,,25,,1582825997,334954153,'',"[-0.5116717219352722, -0.5116717219352722]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997337087002,,26,,1582825997,336946911,'',"[-0.5333559513092041, -0.5333559513092041]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997341103192,,27,,1582825997,340971823,'',"[-0.5442140698432922, -0.5442140698432922]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997343125564,,28,,1582825997,342954470,'',"[-0.5659304261207581, -0.5659304261207581]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997345053008,,29,,1582825997,344935048,'',"[-0.576788604259491, -0.576788604259491]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997349121181,,30,,1582825997,348964371,'',"[-0.609330952167511, -0.609330952167511]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997351126756,,31,,1582825997,350966334,'',"[-0.6201891303062439, -0.6201891303062439]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997353012289,,32,,1582825997,352906582,'',"[-0.6310473084449768, -0.6310473084449768]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997357032714,,33,,1582825997,356902461,'',"[-0.6527314782142639, -0.6527314782142639]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997359031098,,34,,1582825997,358917493,'',"[-0.6635896563529968, -0.6635896563529968]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997361017886,,35,,1582825997,360911551,'',"[-0.6853059530258179, -0.6853059530258179]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997363050986,,36,,1582825997,362910287,'',"[-0.6961641311645508, -0.6961641311645508]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997367029358,,37,,1582825997,366911938,'',"[-0.7178483605384827, -0.7178483605384827]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997369027873,,38,,1582825997,368915133,'',"[-0.7395646572113037, -0.7395646572113037]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997371039779,,39,,1582825997,370920457,'',"[-0.7504228353500366, -0.7504228353500366]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997375046969,,40,,1582825997,374908552,'',"[-0.7721070647239685, -0.7721070647239685]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997377021050,,41,,1582825997,376912493,'',"[-0.7829651832580566, -0.7829651832580566]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997378998082,,42,,1582825997,378905618,'',"[-0.8046815395355225, -0.8046815395355225]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997383056818,,43,,1582825997,382922374,'',"[-0.8155397176742554, -0.8155397176742554]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582825997385041692,,44,,1582825997,384926725,'',"[-0.8372238874435425, -0.8372238874435425]","[1, 0, 0, 0, 0, 0, 0, 0]"
