rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
1582826002372293096,,1,,1582826002,372179031,"""user""",2,1
1582826008157406101,,2,,1582826008,157013893,"""user""",1,2
1582826018131990576,,3,,1582826018,131759881,"""user""",0,3
1582826027718299243,,4,,1582826027,718185901,"""user""",2,4
1582826032842620398,,5,,1582826032,842489004,"""user""",0,5
1582826037925319218,,6,,1582826037,924925088,"""user""",2,6
1582826052760640020,,7,,1582826052,760519981,"""user""",0,7
1582826058027759302,,8,,1582826058,27419090,"""user""",2,8
1582826063160174278,,9,,1582826063,159965991,"""user""",0,9
1582826068443411020,,10,,1582826068,443068981,"""user""",2,10
1582826082858037940,,11,,1582826082,857348918,"""user""",1,11
1582826092740644330,,12,,1582826092,740518093,"""user""",2,12
1582826097849974552,,13,,1582826097,849550008,"""user""",0,13
1582826113487567899,,14,,1582826113,487376928,"""user""",2,14
1582826117837382421,,15,,1582826117,837236881,"""user""",1,15
1582826128119721377,,16,,1582826128,119318962,"""user""",2,16
1582826137932932893,,17,,1582826137,932807922,"""user""",1,17
1582826152960551527,,18,,1582826152,960130929,"""user""",2,18
1582826163111616499,,19,,1582826163,111218929,"""user""",1,19
1582826173231403923,,20,,1582826173,231076002,"""user""",2,20
1582826174732412648,,21,,1582826174,731951951,"""user""",0,21
1582826188427693832,,22,,1582826188,427094936,"""user""",1,22
1582826193051352438,,23,,1582826193,51186084,"""user""",0,23
1582826198001717114,,24,,1582826198,1255035,"""user""",2,24
1582826210881365743,,25,,1582826210,881210088,"""user""",1,25
1582826213119376907,,26,,1582826213,119098901,"""user""",2,26
1582826225860034290,,27,,1582826225,859622001,"""user""",1,27
1582826228146174927,,28,,1582826228,145909070,"""user""",0,28
1582826233150125539,,29,,1582826233,149629116,"""user""",1,29
1582826243423299219,,30,,1582826243,423161983,"""user""",2,30
1582826248091401238,,31,,1582826248,91233968,"""user""",1,31
1582826255710774127,,32,,1582826255,709703922,"""user""",0,32
1582826258231712720,,33,,1582826258,231375932,"""user""",1,33
1582826273673887284,,34,,1582826273,673506975,"""user""",0,34
1582826280707132561,,35,,1582826280,706239938,"""user""",2,35
1582826283432205902,,36,,1582826283,431977987,"""user""",0,36
1582826293373816475,,37,,1582826293,373541116,"""user""",2,37
