rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582329734014363141,,1,,1582329734,10921955,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582329734019528653,,2,,1582329734,17690896,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582329734021024220,,3,,1582329734,19623041,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582329734026915019,,4,,1582329734,25685071,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582329734029218924,,5,,1582329734,28001070,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582329734030617636,,6,,1582329734,29627084,"""Zero Band""",[0.0016592431347817183],"[0, 0, 0, 0]"
1582329734042855822,,7,,1582329734,35665035,"""Hard Sip""",[0.012485282495617867],"[0, 0, 0, 1]"
1582329734047342022,,8,,1582329734,42891979,"""Hard Sip""",[0.023343447595834732],"[0, 0, 0, 1]"
1582329734052630673,,9,,1582329734,47401905,"""Hard Sip""",[0.03420161083340645],"[0, 0, 0, 1]"
1582329734057005842,,10,,1582329734,52527904,"""Hard Sip""",[0.04505977779626846],"[0, 0, 0, 1]"
1582329734062854242,,11,,1582329734,56951999,"""Hard Sip""",[0.05591794103384018],"[0, 0, 0, 1]"
1582329734067576969,,12,,1582329734,62716960,"""Hard Sip""",[0.06674397736787796],"[0, 0, 0, 1]"
1582329734072639581,,13,,1582329734,67598104,"""Hard Sip""",[0.07760214805603027],"[0, 0, 0, 1]"
1582329734077494557,,14,,1582329734,72617053,"""Hard Sip""",[0.08846031129360199],"[0, 0, 0, 1]"
1582329734082354749,,15,,1582329734,77385902,"""Hard Sip""",[0.0993184745311737],"[0, 0, 0, 1]"
1582329734088752127,,16,,1582329734,82360029,"""Hard Sip""",[0.11017663776874542],"[0, 0, 0, 1]"
1582329734092895418,,17,,1582329734,88660955,"""Hard Sip""",[0.12103480100631714],"[0, 0, 0, 1]"
1582329734098493405,,18,,1582329734,92907905,"""Hard Sip""",[0.13186083734035492],"[0, 0, 0, 1]"
1582329734103147786,,19,,1582329734,98310947,"""Hard Sip""",[0.14271900057792664],"[0, 0, 0, 1]"
1582329734108690436,,20,,1582329734,102915048,"""Hard Sip""",[0.15357716381549835],"[0, 0, 0, 1]"
1582329734112717220,,21,,1582329734,108545064,"""Hard Sip""",[0.16443534195423126],"[0, 0, 0, 1]"
1582329734118027456,,22,,1582329734,112725019,"""Hard Sip""",[0.17529350519180298],"[0, 0, 0, 1]"
1582329734122066610,,23,,1582329734,117989063,"""Hard Sip""",[0.18611954152584076],"[0, 0, 0, 1]"
1582329734126954863,,24,,1582329734,122085094,"""Hard Sip""",[0.19697770476341248],"[0, 0, 0, 1]"
1582329734131061808,,25,,1582329734,126945018,"""Hard Sip""",[0.2078358680009842],"[0, 0, 0, 1]"
1582329734136595036,,26,,1582329734,131062030,"""Hard Sip""",[0.2186940312385559],"[0, 0, 0, 1]"
1582329734140523882,,27,,1582329734,136373996,"""Hard Sip""",[0.22955219447612762],"[0, 0, 0, 1]"
1582329734145823451,,28,,1582329734,140495061,"""Hard Sip""",[0.2403782308101654],"[0, 0, 0, 1]"
1582329734149968793,,29,,1582329734,145833015,"""Hard Sip""",[0.2512364089488983],"[0, 0, 0, 1]"
1582329734155150688,,30,,1582329734,149847030,"""Hard Sip""",[0.26209455728530884],"[0, 0, 0, 1]"
1582329734159109531,,31,,1582329734,154952049,"""Hard Sip""",[0.27295273542404175],"[0, 0, 0, 1]"
1582329734163967355,,32,,1582329734,159127950,"""Hard Sip""",[0.28381088376045227],"[0, 0, 0, 1]"
1582329734168258852,,33,,1582329734,163893938,"""Hard Sip""",[0.2946690618991852],"[0, 0, 0, 1]"
1582329734169155333,,34,,1582329734,168312072,"""Soft-Hard Sip Deadband""",[0.30549511313438416],"[0, 0, 0, 0]"
1582329734169729134,,35,,1582329734,168992996,"""Soft-Hard Sip Deadband""",[0.3163532614707947],"[0, 0, 0, 0]"
1582329734170439540,,36,,1582329734,169713020,"""Soft-Hard Sip Deadband""",[0.3272114396095276],"[0, 0, 0, 0]"
1582329734171370923,,37,,1582329734,170428037,"""Soft-Hard Sip Deadband""",[0.3380695879459381],"[0, 0, 0, 0]"
1582329734172301195,,38,,1582329734,171350002,"""Soft-Hard Sip Deadband""",[0.348927766084671],"[0, 0, 0, 0]"
1582329734172972741,,39,,1582329734,172328948,"""Soft-Hard Sip Deadband""",[0.3597537875175476],"[0, 0, 0, 0]"
1582329734178342464,,40,,1582329734,177603960,"""Soft-Hard Sip Deadband""",[0.3706119656562805],"[0, 0, 0, 0]"
1582329734187741960,,41,,1582329734,183969020,"""Soft-Hard Sip Deadband""",[0.38147011399269104],"[0, 0, 0, 0]"
1582329734192762972,,42,,1582329734,189826011,"""Soft-Hard Sip Deadband""",[0.39232829213142395],"[0, 0, 0, 0]"
1582329734197029413,,43,,1582329734,193908929,"""Soft-Hard Sip Deadband""",[0.4031864404678345],"[0, 0, 0, 0]"
1582329734204860860,,44,,1582329734,201890945,"""Soft-Hard Sip Deadband""",[0.4140446186065674],"[0, 0, 0, 0]"
