rosbagTimestamp,data
24.3700554371,"""end"""
27.3981492519,"""start"""
53.6279709339,"""end"""
56.6555492878,"""start"""
81.9933185577,"""end"""
85.027148962,"""start"""
109.53698349,"""end"""
112.568164587,"""start"""
135.438013315,"""end"""
138.464321136,"""start"""
161.609604597,"""end"""
164.657233,"""start"""
197.855678082,"""end"""
200.876869202,"""start"""
225.74196744,"""end"""
228.766128778,"""start"""
264.777629375,"""end"""
267.795290947,"""start"""
289.571369648,"""end"""
292.599650145,"""start"""
316.028982401,"""end"""
319.04517436,"""start"""
339.412062407,"""end"""
