rosbagTimestamp,data
1582330380240540838,"""end"""
1582330383271605651,"""start"""
1582330407707127422,"""end"""
1582330410755600845,"""start"""
1582330447907900003,"""end"""
1582330450938004868,"""start"""
1582330478696035491,"""end"""
1582330481745511816,"""start"""
1582330520923649406,"""end"""
1582330523949742263,"""start"""
1582330558435847922,"""end"""
1582330561462314904,"""start"""
1582330598471282125,"""end"""
1582330601500247361,"""start"""
1582330638066464719,"""end"""
1582330641100835091,"""start"""
1582330691108591304,"""end"""
1582330694162704862,"""start"""
1582330744163669050,"""end"""
1582330747210513246,"""start"""
1582330797212919922,"""end"""
1582330800239980903,"""start"""
1582330842106841140,"""end"""
