rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
1582328648827487614,,1,,1582328648,827197074,"""user""",0,2
1582328653180513434,,2,,1582328653,180032968,"""user""",1,3
1582328656941445243,,3,,1582328656,941245079,"""user""",2,4
1582328662593353777,,4,,1582328662,593136072,"""user""",0,5
1582328663313616836,,5,,1582328663,313229084,"""user""",1,6
1582328668755339898,,6,,1582328668,755189895,"""user""",2,7
1582328670891407355,,7,,1582328670,891287088,"""user""",1,8
1582328672735355052,,8,,1582328672,735168933,"""user""",2,9
1582328673401113844,,9,,1582328673,400949001,"""user""",0,10
1582328677783077690,,10,,1582328677,782871007,"""user""",1,11
1582328683279863701,,11,,1582328683,279108047,"""service""",2,12
1582328686869088091,,12,,1582328686,868901968,"""user""",0,13
1582328691303023611,,13,,1582328691,302895069,"""user""",1,14
1582328692019109611,,14,,1582328692,19023895,"""user""",2,15
1582328696600947412,,15,,1582328696,600639104,"""user""",0,16
1582328697216846917,,16,,1582328697,216691017,"""user""",1,17
1582328700672859641,,17,,1582328700,672652006,"""user""",2,18
1582328701313189469,,18,,1582328701,313009977,"""user""",0,19
1582328705654738409,,19,,1582328705,654660940,"""user""",1,20
1582328711266515931,,20,,1582328711,266088962,"""service""",1,21
1582328713496947852,,21,,1582328713,496838092,"""user""",2,22
1582328714188976946,,22,,1582328714,188756942,"""user""",0,23
1582328718530793481,,23,,1582328718,530617952,"""user""",1,24
1582328722171925517,,24,,1582328722,171601057,"""user""",2,25
1582328722718712599,,25,,1582328722,718519926,"""user""",0,26
1582328727332762604,,26,,1582328727,332669973,"""user""",1,27
1582328728456747975,,27,,1582328728,456455945,"""user""",2,28
1582328733991887841,,28,,1582328733,991676092,"""user""",1,29
1582328739822807085,,29,,1582328739,822300910,"""service""",2,30
1582328742114877677,,30,,1582328742,114552974,"""user""",0,31
1582328742838572886,,31,,1582328742,838392019,"""user""",1,32
1582328747460448429,,32,,1582328747,460335016,"""user""",0,33
1582328752272481808,,33,,1582328752,272352933,"""user""",1,34
1582328752990314853,,34,,1582328752,990103960,"""user""",2,35
1582328758634440970,,35,,1582328758,634191036,"""user""",1,36
1582328763144429105,,36,,1582328763,144244909,"""user""",0,37
1582328769501622766,,37,,1582328769,501370906,"""service""",2,38
1582328772892346735,,38,,1582328772,892163038,"""user""",0,39
1582328777184118402,,39,,1582328777,183999061,"""user""",1,40
1582328780778194984,,40,,1582328780,778011083,"""user""",0,41
1582328786474643553,,41,,1582328786,474330902,"""user""",2,42
1582328792480177475,,42,,1582328792,479940891,"""user""",1,43
1582328799833904307,,43,,1582328799,833440065,"""service""",1,44
1582328801736027353,,44,,1582328801,735819101,"""user""",0,45
1582328806473852863,,45,,1582328806,473686933,"""user""",1,46
1582328810836206487,,46,,1582328810,836052894,"""user""",0,47
1582328815049820538,,47,,1582328815,49650907,"""user""",2,48
1582328821903782831,,48,,1582328821,903614997,"""user""",1,49
1582328830367150438,,49,,1582328830,366349935,"""service""",2,50
