rosbagTimestamp,data
35.4048600197,"""end"""
38.433719635,"""start"""
63.3897621632,"""end"""
66.4165742397,"""start"""
91.946087122,"""end"""
94.9732713699,"""start"""
121.630544424,"""end"""
124.645503521,"""start"""
151.957295179,"""end"""
155.005727768,"""start"""
182.489906549,"""end"""
185.538334608,"""start"""
214.515763521,"""end"""
217.564906597,"""start"""
252.04433918,"""end"""
255.069027901,"""start"""
282.470591068,"""end"""
285.517815351,"""start"""
314.884553194,"""end"""
317.912631035,"""start"""
349.396476269,"""end"""
352.421873093,"""start"""
389.498539925,"""end"""
