rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
5.45372247696,,1,,1582327311,586497068,'',"""RIGHT"""
11.4934477806,,2,,1582327317,625785112,'',"""UP"""
17.5527887344,,3,,1582327323,685652017,'',"""xy"""
22.8219237328,,4,,1582327328,954616069,'',"""CLOCKWISE"""
27.9197895527,,5,,1582327334,52704095,'',"""tx"""
31.6814084053,,6,,1582327337,814235925,'',"""LEFT"""
36.1851770878,,7,,1582327342,317928075,'',"""yt"""
39.3315017223,,8,,1582327345,464342117,'',"""UP"""
43.1613204479,,9,,1582327349,293061017,'',"""DOWN"""
46.9321806431,,10,,1582327353,65078020,'',"""UP"""
49.8011286259,,11,,1582327355,934251070,'',"""UP"""
52.3708631992,,12,,1582327358,504225015,'',"""COUNTERCLOCKWISE"""
56.6137149334,,13,,1582327362,746598005,'',"""CLOCKWISE"""
62.6516320705,,14,,1582327368,784781932,'',"""yx"""
65.4796483517,,15,,1582327371,612432956,'',"""CLOCKWISE"""
69.8415095806,,16,,1582327375,974596977,'',"""xt"""
72.9943590164,,17,,1582327379,127182960,'',"""COUNTERCLOCKWISE"""
76.7482676506,,18,,1582327382,881500959,'',"""yt"""
79.5852844715,,19,,1582327385,718245029,'',"""RIGHT"""
82.8379161358,,20,,1582327388,971164941,'',"""xy"""
85.7357053757,,21,,1582327391,868360996,'',"""RIGHT"""
89.5713374615,,22,,1582327395,704246044,'',"""xt"""
92.2901697159,,23,,1582327398,423342943,'',"""xy"""
95.0201339722,,24,,1582327401,152570009,'',"""tx"""
97.87748909,,25,,1582327404,10287046,'',"""CLOCKWISE"""
102.334941864,,26,,1582327408,467808961,'',"""COUNTERCLOCKWISE"""
108.368862629,,27,,1582327414,502161979,'',"""LEFT"""
113.503848553,,28,,1582327419,636792898,'',"""COUNTERCLOCKWISE"""
118.849792957,,29,,1582327424,983122110,'',"""yx"""
122.084283829,,30,,1582327428,217308044,'',"""ty"""
124.885108709,,31,,1582327431,17734050,'',"""ty"""
127.45416379,,32,,1582327433,587124109,'',"""LEFT"""
130.646231413,,33,,1582327436,779162883,'',"""tx"""
133.576538563,,34,,1582327439,709480047,'',"""yx"""
136.162885427,,35,,1582327442,296180963,'',"""DOWN"""
139.509526014,,36,,1582327445,642307996,'',"""tx"""
141.947053194,,37,,1582327448,79736948,'',"""RIGHT"""
145.548967361,,38,,1582327451,681875944,'',"""tx"""
148.850036383,,39,,1582327454,982857942,'',"""yx"""
151.189596415,,40,,1582327457,322886943,'',"""DOWN"""
153.947281837,,41,,1582327460,80564022,'',"""yx"""
156.326843023,,42,,1582327462,459662914,'',"""COUNTERCLOCKWISE"""
160.51441741,,43,,1582327466,647280931,'',"""yt"""
163.446253538,,44,,1582327469,578828096,'',"""DOWN"""
166.108021498,,45,,1582327472,241303920,'',"""ty"""
168.72956562,,46,,1582327474,862445116,'',"""ty"""
171.792442799,,47,,1582327477,925039052,'',"""UP"""
175.187615871,,48,,1582327481,320555925,'',"""LEFT"""
180.013323069,,49,,1582327486,146248102,'',"""ty"""
182.661576748,,50,,1582327488,794289112,'',"""xy"""
185.390116692,,51,,1582327491,522207975,'',"""yt"""
187.833335638,,52,,1582327493,966312885,'',"""CLOCKWISE"""
192.078478813,,53,,1582327498,210700988,'',"""xt"""
194.519520521,,54,,1582327500,651746034,'',"""xy"""
197.324416876,,55,,1582327503,455667972,'',"""DOWN"""
200.093212843,,56,,1582327506,226052045,'',"""LEFT"""
203.448256731,,57,,1582327509,581213951,'',"""xt"""
205.889422417,,58,,1582327512,22360086,'',"""xt"""
208.212467432,,59,,1582327514,345727920,'',"""yt"""
