rosbagTimestamp,data
1582327311589573984,"""12.pkl"""
1582327317626881011,"""4.pkl"""
1582327323686749931,"""33.pkl"""
1582327328956344538,"""27.pkl"""
1582327334053213054,"""51.pkl"""
1582327337815307357,"""17.pkl"""
1582327342318722851,"""45.pkl"""
1582327345465657231,"""0.pkl"""
1582327349294847329,"""6.pkl"""
1582327353066088125,"""2.pkl"""
1582327355934923802,"""3.pkl"""
1582327358504388268,"""21.pkl"""
1582327362747285031,"""26.pkl"""
1582327368785082944,"""42.pkl"""
1582327371613150291,"""29.pkl"""
1582327375975094194,"""38.pkl"""
1582327379128107356,"""23.pkl"""
1582327382881920070,"""46.pkl"""
1582327385719420081,"""14.pkl"""
1582327388971550489,"""34.pkl"""
1582327391871052363,"""11.pkl"""
1582327395705610829,"""37.pkl"""
1582327398423836237,"""31.pkl"""
1582327401153542283,"""50.pkl"""
1582327404011540781,"""25.pkl"""
1582327408468824508,"""20.pkl"""
1582327414502673968,"""19.pkl"""
1582327419637701848,"""22.pkl"""
1582327424983319864,"""41.pkl"""
1582327428218467279,"""59.pkl"""
1582327431018428669,"""58.pkl"""
1582327433588049555,"""18.pkl"""
1582327436780047108,"""52.pkl"""
1582327439710383466,"""40.pkl"""
1582327442296415348,"""7.pkl"""
1582327445643177558,"""54.pkl"""
1582327448080791936,"""10.pkl"""
1582327451682748474,"""53.pkl"""
1582327454983863660,"""43.pkl"""
1582327457323652157,"""9.pkl"""
1582327460081408059,"""44.pkl"""
1582327462460556644,"""24.pkl"""
1582327466648193582,"""49.pkl"""
1582327469580667302,"""8.pkl"""
1582327472241749469,"""55.pkl"""
1582327474863182787,"""57.pkl"""
1582327477925697579,"""1.pkl"""
1582327481321273578,"""15.pkl"""
1582327486147495402,"""56.pkl"""
1582327488794923343,"""32.pkl"""
1582327491523524853,"""47.pkl"""
1582327493970040444,"""28.pkl"""
1582327498211941403,"""36.pkl"""
1582327500653014388,"""30.pkl"""
1582327503457573302,"""5.pkl"""
1582327506226935344,"""16.pkl"""
1582327509581687193,"""39.pkl"""
1582327512023195116,"""35.pkl"""
1582327514346085576,"""48.pkl"""
