rosbagTimestamp,data
4.3326382637,"""end"""
5.45370173454,"""start"""
10.4593288898,"""end"""
11.4927861691,"""start"""
16.4983355999,"""end"""
17.5526115894,"""start"""
21.2885491848,"""end"""
22.821336031,"""start"""
26.8743648529,"""end"""
27.9202265739,"""start"""
30.1487288475,"""end"""
31.6813876629,"""start"""
35.1381070614,"""end"""
36.1850190163,"""start"""
37.7978608608,"""end"""
39.3313701153,"""start"""
42.1274213791,"""end"""
43.1599481106,"""start"""
45.9056310654,"""end"""
46.9322075844,"""start"""
48.774982214,"""end"""
49.8012828827,"""start"""
51.3527956009,"""end"""
52.3707954884,"""start"""
55.5824656487,"""end"""
56.6139886379,"""start"""
61.6161763668,"""end"""
62.6514430046,"""start"""
63.9463641644,"""end"""
65.4803025723,"""start"""
68.8050713539,"""end"""
69.841373682,"""start"""
71.4599194527,"""end"""
72.9939324856,"""start"""
75.7086946964,"""end"""
76.7482662201,"""start"""
78.0532104969,"""end"""
79.5859966278,"""start"""
81.8006386757,"""end"""
82.8380918503,"""start"""
84.2024335861,"""end"""
85.7351207733,"""start"""
88.5306842327,"""end"""
89.5712063313,"""start"""
90.7530117035,"""end"""
92.2900512218,"""start"""
93.4747164249,"""end"""
95.0195672512,"""start"""
96.3422589302,"""end"""
97.8772671223,"""start"""
101.300116062,"""end"""
102.334814548,"""start"""
107.341130257,"""end"""
108.368717432,"""start"""
112.470752478,"""end"""
113.504041195,"""start"""
117.821169615,"""end"""
118.849724531,"""start"""
120.534230709,"""end"""
122.084309816,"""start"""
123.33343029,"""end"""
124.884652615,"""start"""
125.922012806,"""end"""
127.454131842,"""start"""
129.600556135,"""end"""
130.647036076,"""start"""
132.028752327,"""end"""
133.576767445,"""start"""
134.636393547,"""end"""
136.162894726,"""start"""
138.465231895,"""end"""
139.509028912,"""start"""
140.415498495,"""end"""
141.947086096,"""start"""
144.502477646,"""end"""
145.549137592,"""start"""
147.302753925,"""end"""
148.849811077,"""start"""
149.659961939,"""end"""
151.190146685,"""start"""
152.912297964,"""end"""
153.947339058,"""start"""
154.792452812,"""end"""
156.328663349,"""start"""
159.462965488,"""end"""
160.51418376,"""start"""
161.912981272,"""end"""
163.447038889,"""start"""
165.062010765,"""end"""
166.10827446,"""start"""
167.183009386,"""end"""
168.729200125,"""start"""
170.260346651,"""end"""
171.793595552,"""start"""
174.163482666,"""end"""
175.187627316,"""start"""
178.969581842,"""end"""
180.013406038,"""start"""
181.11431694,"""end"""
182.661269665,"""start"""
183.842871189,"""end"""
185.389129877,"""start"""
186.300206423,"""end"""
187.833364725,"""start"""
191.040198326,"""end"""
192.077697754,"""start"""
192.969485044,"""end"""
194.518787384,"""start"""
195.790043354,"""end"""
197.322302341,"""start"""
199.059931755,"""end"""
200.092855692,"""start"""
202.415409327,"""end"""
203.448181629,"""start"""
204.343379259,"""end"""
205.889607668,"""start"""
206.675100088,"""end"""
208.212432146,"""start"""
209.22715497,"""end"""
