rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582325867995297616,,1,,1582325867,994715929,'',"""Hard Sip"""
1582325872002376840,,2,,1582325872,1243114,'',''
1582325873005932714,,3,,1582325873,4138946,'',"""Hard Puff"""
1582325877022611991,,4,,1582325877,21282911,'',''
1582325878024979913,,5,,1582325878,24101018,'',"""Soft Sip"""
1582325882029794349,,6,,1582325882,29270887,'',''
1582325883032145338,,7,,1582325883,31039953,'',"""Soft Puff"""
1582325887037821520,,8,,1582325887,37261962,'',''
1582325888041136411,,9,,1582325888,40194034,'',"""Soft Sip"""
1582325892046201425,,10,,1582325892,45247077,'',''
1582325893049202340,,11,,1582325893,48141002,'',"""Hard Sip"""
1582325897053761776,,12,,1582325897,53263902,'',''
1582325898056107092,,13,,1582325898,54975032,'',"""Soft Puff"""
1582325902061773928,,14,,1582325902,61268091,'',''
1582325903064525318,,15,,1582325903,63188076,'',"""Hard Puff"""
1582325907069734667,,16,,1582325907,69221019,'',''
1582325908073308993,,17,,1582325908,72051048,'',"""Hard Puff"""
1582325912078759724,,18,,1582325912,77590942,'',''
1582325913080717632,,19,,1582325913,80281972,'',"""Soft Puff"""
1582325917086316419,,20,,1582325917,85280895,'',''
1582325918089682243,,21,,1582325918,88695049,'',"""Hard Sip"""
1582325922093930246,,22,,1582325922,93265056,'',''
1582325923096318432,,23,,1582325923,95287084,'',"""Soft Sip"""
1582325927103083794,,24,,1582325927,101751089,'',''
