rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582325868578582096,,1,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868587414068,,2,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868597773415,,3,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868602973996,,4,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868611374686,,5,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868619009394,,6,,1582325857,188329935,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582325868627298490,,7,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868637218376,,8,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868645271319,,9,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868657393761,,10,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868671194035,,11,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868691638652,,12,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868725594446,,13,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868743722115,,14,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868761641814,,15,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868783520506,,16,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868793304794,,17,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868803412627,,18,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868815450590,,19,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868821152248,,20,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868827333185,,21,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868835057194,,22,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868843297609,,23,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868847428678,,24,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868853271046,,25,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868859032709,,26,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868867365560,,27,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868875329068,,28,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868879303419,,29,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868885330118,,30,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868893267373,,31,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868901424514,,32,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868907289823,,33,,1582325857,188329935,"""Soft Sip""",[0.0],"[0, 0, 1, 0]"
1582325868919107910,,34,,1582325857,188329935,"""Soft-Hard Sip Deadband""",[0.0],"[0, 0, 0, 0]"
1582325868931711394,,35,,1582325857,188329935,"""Soft-Hard Sip Deadband""",[0.0],"[0, 0, 0, 0]"
1582325868945804014,,36,,1582325857,188329935,"""Soft-Hard Sip Deadband""",[0.0],"[0, 0, 0, 0]"
