rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1581465379362298755,,1,,1581465379,360744953,'',"""Soft Puff"""
1581465513485946125,,2,,1581465513,484802961,'',"""Soft Sip"""
1581465521805850146,,3,,1581465521,803342103,'',"""Hard Sip"""
1581465546755237294,,4,,1581465546,755142927,'',"""Hard Puff"""
1581465549267124343,,5,,1581465549,263465881,'',"""Soft Sip"""
1581465551781644615,,6,,1581465551,778007984,'',"""Hard Sip"""
1581465554294682126,,7,,1581465554,290987014,'',"""Soft Sip"""
1581465556809259382,,8,,1581465556,805344104,'',"""Soft Puff"""
1581465559324754683,,9,,1581465559,320956945,'',"""Hard Puff"""
1581465561835373684,,10,,1581465561,834337949,'',"""Hard Sip"""
1581465566692648815,,11,,1581465566,692502975,'',"""Hard Puff"""
1581465571790068378,,12,,1581465571,789735078,'',"""Hard Sip"""
1581465574303504837,,13,,1581465574,299951076,'',"""Soft Sip"""
1581465576844620696,,14,,1581465576,843467950,'',"""Hard Puff"""
1581465580741471060,,15,,1581465580,740981101,'',"""Hard Puff"""
1581465583258547667,,16,,1581465583,255013942,'',"""Soft Sip"""
1581465585771856620,,17,,1581465585,768336057,'',"""Soft Sip"""
1581465588283128293,,18,,1581465588,277894020,'',"""Soft Puff"""
1581465590797594807,,19,,1581465590,796643972,'',"""Hard Sip"""
1581465593314447671,,20,,1581465593,310707092,'',"""Hard Puff"""
1581465597380318862,,21,,1581465597,379945039,'',"""Hard Sip"""
1581465599898355832,,22,,1581465599,894607067,'',"""Hard Puff"""
1581465602411243658,,23,,1581465602,409843921,'',"""Hard Sip"""
1581465607495508171,,24,,1581465607,491982936,'',"""Soft Sip"""
1581465610845764625,,25,,1581465610,845324039,'',"""Soft Sip"""
1581465613359897536,,26,,1581465613,358741044,'',"""Hard Puff"""
1581465615877249817,,27,,1581465615,873447895,'',"""Soft Puff"""
