rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
10.0624215603,,1,,1582773547,889628887,"""user""",0,2
15.9809186459,,2,,1582773553,808311939,"""user""",1,3
20.6210401058,,3,,1582773558,448457002,"""user""",0,4
28.9044847488,,4,,1582773566,731723070,"""user""",2,5
32.2050075531,,5,,1582773570,32428979,"""user""",0,6
32.7440338135,,6,,1582773570,571477890,"""user""",1,7
40.4048902988,,7,,1582773578,232325077,"""service""",1,8
40.8083217144,,8,,1582773578,635643005,"""user""",0,9
46.6470422745,,9,,1582773584,474457979,"""user""",1,10
50.5289990902,,10,,1582773588,356331110,"""user""",0,11
58.0774345398,,11,,1582773595,904859066,"""user""",2,12
61.7703504562,,12,,1582773599,597769975,"""user""",0,13
62.1694209576,,13,,1582773599,996839046,"""user""",1,14
70.5777301788,,14,,1582773608,405126094,"""service""",2,15
71.6573753357,,15,,1582773609,484515905,"""user""",0,16
72.1859779358,,16,,1582773610,13417959,"""user""",1,17
76.6762120724,,17,,1582773614,503547906,"""user""",0,18
82.6633937359,,18,,1582773620,490803956,"""user""",1,19
86.6481544971,,19,,1582773624,475575923,"""user""",2,20
91.2522959709,,20,,1582773629,79591989,"""user""",0,21
100.358495474,,21,,1582773638,185483932,"""service""",2,22
101.392198324,,22,,1582773639,219518899,"""user""",0,23
107.0308249,,23,,1582773644,858031034,"""user""",1,24
111.036525488,,24,,1582773648,863949060,"""user""",0,25
116.650006294,,25,,1582773654,477375984,"""user""",2,26
120.671443224,,26,,1582773658,498837947,"""user""",0,27
121.169485569,,27,,1582773658,996893882,"""user""",1,28
128.817248344,,28,,1582773666,644592046,"""service""",0,29
129.637923479,,29,,1582773667,465337991,"""user""",1,30
133.402693987,,30,,1582773671,230118036,"""user""",2,31
137.772316217,,31,,1582773675,599631071,"""user""",0,32
144.192430019,,32,,1582773682,19849061,"""user""",1,33
148.114771843,,33,,1582773685,942164897,"""user""",0,34
158.051795244,,34,,1582773695,879132032,"""service""",0,35
158.79831624,,35,,1582773696,625747919,"""user""",1,36
162.98814559,,36,,1582773700,815568923,"""user""",2,37
168.234745979,,37,,1582773706,62166929,"""user""",0,38
174.29499197,,38,,1582773712,122256040,"""user""",1,39
178.891257286,,39,,1582773716,718594074,"""user""",0,40
