rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582663171809624706,,1,,1582663171,809163093,'',"""up"""
1582663173276465885,,2,,1582663173,276117086,'',''
1582663173293630259,,3,,1582663173,293239116,'',"""up"""
1582663174443807477,,4,,1582663174,443409919,'',''
1582663174460547688,,5,,1582663174,460150957,'',"""mode_switch_right_1"""
1582663176010195042,,6,,1582663176,9908914,'',''
1582663176027242037,,7,,1582663176,26946067,'',"""down"""
1582663177578076011,,8,,1582663177,577670097,'',''
1582663177595036495,,9,,1582663177,594588994,'',"""mode_switch_left_3"""
1582663180261925063,,10,,1582663180,261630058,'',''
1582663180279089805,,11,,1582663180,278688907,'',"""mode_switch_right_1"""
1582663181996343676,,12,,1582663181,995917081,'',''
1582663182012923376,,13,,1582663182,12484073,'',"""mode_switch_left_1"""
1582663183447867710,,14,,1582663183,447288036,'',''
1582663183462884378,,15,,1582663183,462558984,'',"""mode_switch_left_3"""
1582663184980662725,,16,,1582663184,980245113,'',''
1582663184997287509,,17,,1582663184,996962070,'',"""left"""
1582663186630835567,,18,,1582663186,630458116,'',''
1582663186648104891,,19,,1582663186,647644042,'',"""mode_switch_left_2"""
1582663187964715619,,20,,1582663187,964333057,'',''
1582663187981475459,,21,,1582663187,981098890,'',"""mode_switch_left_1"""
1582663189448310144,,22,,1582663189,447910070,'',''
1582663189464896967,,23,,1582663189,464543104,'',"""mode_switch_right_2"""
1582663190898644869,,24,,1582663190,898312091,'',''
1582663190915924689,,25,,1582663190,915520906,'',"""right"""
1582663192365333322,,26,,1582663192,365052938,'',''
1582663192382313778,,27,,1582663192,381999015,'',"""mode_switch_right_3"""
1582663194966724438,,28,,1582663194,966339111,'',''
1582663194983778667,,29,,1582663194,983355045,'',"""mode_switch_right_3"""
1582663196200659068,,30,,1582663196,200232982,'',''
1582663196217505673,,31,,1582663196,217103958,'',"""clockwise"""
1582663197733880399,,32,,1582663197,733546972,'',''
1582663197751155583,,33,,1582663197,750683069,'',"""left"""
1582663199418281339,,34,,1582663199,417871952,'',''
1582663199435224722,,35,,1582663199,434761047,'',"""mode_switch_right_1"""
1582663200985090140,,36,,1582663200,984723091,'',''
1582663201001370910,,37,,1582663201,1110076,'',"""right"""
1582663202301417804,,38,,1582663202,301188945,'',''
1582663202318329789,,39,,1582663202,318073987,'',"""down"""
1582663203919373246,,40,,1582663203,918970108,'',''
1582663203936574309,,41,,1582663203,936140060,'',"""mode_switch_left_2"""
1582663205269491249,,42,,1582663205,269157886,'',''
1582663205286870277,,43,,1582663205,286427021,'',"""mode_switch_left_3"""
1582663208071143165,,44,,1582663208,70735931,'',''
1582663208087767024,,45,,1582663208,87294101,'',"""mode_switch_left_1"""
1582663209854324641,,46,,1582663209,853975057,'',''
1582663209871568270,,47,,1582663209,871192932,'',"""mode_switch_left_1"""
1582663211004862018,,48,,1582663211,4506111,'',''
1582663211021684258,,49,,1582663211,21346092,'',"""left"""
1582663212688829175,,50,,1582663212,688446044,'',''
1582663212704841019,,51,,1582663212,704617977,'',"""up"""
1582663214372522649,,52,,1582663214,372186899,'',''
1582663214388615301,,53,,1582663214,388408899,'',"""up"""
1582663215506465675,,54,,1582663215,506094932,'',''
1582663215523328299,,55,,1582663215,522860050,'',"""down"""
1582663217223815311,,56,,1582663217,223392963,'',''
1582663217240432402,,57,,1582663217,240132093,'',"""counterclockwise"""
1582663218890637620,,58,,1582663218,890280961,'',''
1582663218907595965,,59,,1582663218,907231092,'',"""right"""
1582663220541786413,,60,,1582663220,541460037,'',''
1582663220557814560,,61,,1582663220,557507991,'',"""mode_switch_right_1"""
1582663223974951254,,62,,1582663223,974633932,'',''
1582663223991811603,,63,,1582663223,991570949,'',"""mode_switch_right_2"""
1582663225460212520,,64,,1582663225,459887027,'',''
1582663225476044923,,65,,1582663225,475706100,'',"""mode_switch_left_3"""
1582663226926960493,,66,,1582663226,926522970,'',''
1582663226943548563,,67,,1582663226,943161964,'',"""down"""
1582663228660708007,,68,,1582663228,660304069,'',''
1582663228677558519,,69,,1582663228,677160024,'',"""mode_switch_right_3"""
1582663232428979767,,70,,1582663232,428643941,'',''
1582663232444457606,,71,,1582663232,444138050,'',"""mode_switch_right_3"""
1582663233711353426,,72,,1582663233,711138963,'',''
1582663233728387989,,73,,1582663233,728105068,'',"""mode_switch_left_2"""
1582663234962593543,,74,,1582663234,962212085,'',''
1582663234979627006,,75,,1582663234,979218006,'',"""clockwise"""
1582663236329592993,,76,,1582663236,329215049,'',''
1582663236346268208,,77,,1582663236,345892906,'',"""clockwise"""
1582663238130026650,,78,,1582663238,129678010,'',''
1582663238147325405,,79,,1582663238,146919965,'',"""mode_switch_left_2"""
1582663240164047219,,80,,1582663240,163712024,'',''
1582663240181249649,,81,,1582663240,180860042,'',"""counterclockwise"""
1582663242931236290,,82,,1582663242,930924892,'',''
1582663242947400842,,83,,1582663242,947130918,'',"""clockwise"""
1582663244898752215,,84,,1582663244,898329019,'',''
1582663244915575204,,85,,1582663244,915196895,'',"""counterclockwise"""
1582663246365679037,,86,,1582663246,365339040,'',''
1582663246382565434,,87,,1582663246,382210016,'',"""left"""
1582663248100193180,,88,,1582663248,99760055,'',''
1582663248115673097,,89,,1582663248,115447044,'',"""counterclockwise"""
1582663249366590248,,90,,1582663249,366224050,'',''
1582663249382861636,,91,,1582663249,382615089,'',"""mode_switch_right_2"""
1582663252017735105,,92,,1582663252,17323970,'',''
1582663252034762216,,93,,1582663252,34399986,'',"""right"""
