rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582663165724204806,,2,,1582663165,723881959,'',"""s"""
1582663172764943663,,3,,1582663172,764539957,'',"""51"""
1582663173933306123,,4,,1582663173,933053016,'',"""51"""
1582663175500113620,,5,,1582663175,499759912,'',"""50"""
1582663177069573796,,6,,1582663177,69183111,'',"""52"""
1582663179751515399,,7,,1582663179,751142978,'',"""50"""
1582663181484925158,,8,,1582663181,484539031,'',"""49"""
1582663182933348921,,9,,1582663182,933109998,'',"""50"""
1582663184470435673,,10,,1582663184,470108985,'',"""49"""
1582663186121133950,,11,,1582663186,120755910,'',"""52"""
1582663187452902206,,12,,1582663187,452658891,'',"""50"""
1582663188937056545,,13,,1582663188,936702966,'',"""50"""
1582663190388697892,,14,,1582663190,388375997,'',"""49"""
1582663191856859377,,15,,1582663191,856601953,'',"""51"""
1582663194456458892,,16,,1582663194,456089019,'',"""49"""
1582663195691416145,,17,,1582663195,690923929,'',"""49"""
1582663197222142601,,18,,1582663197,221895933,'',"""52"""
1582663198908344906,,19,,1582663198,907911062,'',"""51"""
1582663200473756414,,20,,1582663200,473515987,'',"""49"""
1582663201793701934,,21,,1582663201,793349981,'',"""52"""
1582663203409662990,,22,,1582663203,409364938,'',"""52"""
1582663204759717069,,23,,1582663204,759454965,'',"""50"""
1582663207560707084,,24,,1582663207,560348033,'',"""50"""
1582663209342978078,,25,,1582663209,342741012,'',"""50"""
1582663210493053609,,26,,1582663210,492786884,'',"""50"""
1582663212179065411,,27,,1582663212,178730964,'',"""51"""
1582663213864513978,,28,,1582663213,864020109,'',"""51"""
1582663214997093384,,29,,1582663214,996735095,'',"""51"""
1582663216711401799,,30,,1582663216,711147069,'',"""52"""
1582663218380570665,,31,,1582663218,380152940,'',"""51"""
1582663220033886960,,32,,1582663220,33473014,'',"""51"""
1582663223465402301,,33,,1582663223,465118885,'',"""49"""
1582663224949324820,,34,,1582663224,948932886,'',"""49"""
1582663226417618955,,35,,1582663226,417294025,'',"""50"""
1582663228150940953,,36,,1582663228,150603055,'',"""52"""
1582663231916879405,,37,,1582663231,916615009,'',"""49"""
1582663233200813722,,38,,1582663233,200561046,'',"""49"""
