rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582663172764941849,,1,,1582663172,764648914,'',"""3"""
1582663173933320146,,2,,1582663173,933140039,'',"""3"""
1582663175500127116,,3,,1582663175,499857902,'',"""2"""
1582663177069573781,,4,,1582663177,69289922,'',"""4"""
1582663179751546878,,5,,1582663179,751302003,'',"""2"""
1582663181484933133,,6,,1582663181,484635114,'',"""1"""
1582663182933363237,,7,,1582663182,933182001,'',"""2"""
1582663184470597274,,8,,1582663184,470216035,'',"""1"""
1582663186121133754,,9,,1582663186,120858907,'',"""4"""
1582663187452969409,,10,,1582663187,452747106,'',"""2"""
1582663188937060706,,11,,1582663188,936805009,'',"""2"""
1582663190388707041,,12,,1582663190,388465881,'',"""1"""
1582663191857029178,,13,,1582663191,856749057,'',"""3"""
1582663194456455751,,14,,1582663194,456197977,'',"""1"""
1582663195691620564,,15,,1582663195,691097974,'',"""1"""
1582663197222241395,,16,,1582663197,221967935,'',"""4"""
1582663198908333770,,17,,1582663198,908010005,'',"""3"""
1582663200473831978,,18,,1582663200,473603963,'',"""1"""
1582663201793681722,,19,,1582663201,793456077,'',"""4"""
1582663203409678632,,20,,1582663203,409462928,'',"""4"""
1582663204759761064,,21,,1582663204,759550094,'',"""2"""
1582663207560707080,,22,,1582663207,560447931,'',"""2"""
1582663209343041264,,23,,1582663209,342891931,'',"""2"""
1582663210493103937,,24,,1582663210,492877960,'',"""2"""
1582663212179065857,,25,,1582663212,178837060,'',"""3"""
1582663213864390790,,26,,1582663213,864119052,'',"""3"""
1582663214997093315,,27,,1582663214,996836900,'',"""3"""
1582663216711404097,,28,,1582663216,711229085,'',"""4"""
1582663218380588937,,29,,1582663218,380266904,'',"""3"""
1582663220033831830,,30,,1582663220,33585071,'',"""3"""
1582663223465445960,,31,,1582663223,465209007,'',"""1"""
1582663224949333282,,32,,1582663224,949044942,'',"""1"""
1582663226417627732,,33,,1582663226,417401075,'',"""2"""
1582663228150954585,,34,,1582663228,150707960,'',"""4"""
1582663231916985360,,35,,1582663231,916701078,'',"""1"""
1582663233200828136,,36,,1582663233,200648069,'',"""1"""
1582663234453196748,,37,,1582663234,452953100,'',"""2"""
1582663235821366289,,38,,1582663235,821151971,'',"""3"""
1582663237620175302,,39,,1582663237,619939088,'',"""4"""
1582663239651149760,,40,,1582663239,650932073,'',"""2"""
1582663242420768426,,41,,1582663242,420488119,'',"""4"""
1582663244387773293,,42,,1582663244,387592077,'',"""3"""
1582663245857411661,,43,,1582663245,857043981,'',"""4"""
1582663247589015757,,44,,1582663247,588778972,'',"""4"""
1582663248856539462,,45,,1582663248,856327056,'',"""4"""
1582663251509560285,,46,,1582663251,509345054,'',"""1"""
1582663253290706741,,47,,1582663253,290407896,'',"""3"""
1582663256358963264,,48,,1582663256,358640909,'',"""1"""
1582663271194083014,,49,,1582663271,193834066,'',"""3"""
1582663272611889229,,50,,1582663272,611717939,'',"""4"""
1582663274263024304,,51,,1582663274,262749910,'',"""2"""
1582663275497285836,,52,,1582663275,497081995,'',"""1"""
1582663277849739749,,53,,1582663277,849440097,'',"""4"""
1582663279250123537,,54,,1582663279,249892950,'',"""1"""
1582663281732574365,,55,,1582663281,732363939,'',"""3"""
1582663283181991399,,56,,1582663283,181783914,'',"""2"""
1582663284453047403,,57,,1582663284,452780008,'',"""2"""
1582663286033059830,,58,,1582663286,32828092,'',"""2"""
1582663287201135827,,59,,1582663287,200799942,'',"""1"""
1582663288599692106,,60,,1582663288,599474906,'',"""4"""
1582663291017764529,,61,,1582663291,17559051,'',"""3"""
1582663293788327040,,62,,1582663293,788059949,'',"""4"""
1582663296818616051,,63,,1582663296,818432092,'',"""3"""
1582663298189845380,,64,,1582663298,189575910,'',"""2"""
1582663299669477691,,65,,1582663299,669189929,'',"""3"""
1582663302756436961,,66,,1582663302,756124019,'',"""4"""
1582663305440563100,,67,,1582663305,440289974,'',"""2"""
1582663307324896501,,68,,1582663307,324685096,'',"""1"""
1582663310310041485,,69,,1582663310,309839010,'',"""4"""
1582663312141872979,,70,,1582663312,141578912,'',"""3"""
1582663313707891082,,71,,1582663313,707693099,'',"""2"""
1582663315610954328,,72,,1582663315,610718965,'',"""4"""
1582663317076174378,,73,,1582663317,75982093,'',"""4"""
1582663320028465401,,74,,1582663320,28244018,'',"""1"""
1582663321377510337,,75,,1582663321,377230882,'',"""2"""
1582663322711283178,,76,,1582663322,711040973,'',"""1"""
1582663325132015353,,77,,1582663325,131776094,'',"""4"""
