rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582679228901373217,,1,,1582679228,900943040,'',"""RIGHT"""
1582679234967630793,,2,,1582679234,966480970,'',"""DOWN"""
1582679238896475609,,3,,1582679238,896380901,'',"""xt"""
1582679242304130420,,4,,1582679242,304030895,'',"""UP"""
1582679245819962307,,5,,1582679245,819777011,'',"""ty"""
1582679248905626413,,6,,1582679248,905510902,'',"""xt"""
1582679251940691138,,7,,1582679251,939372062,'',"""LEFT"""
1582679256436756618,,8,,1582679256,436626911,'',"""xy"""
1582679259310640064,,9,,1582679259,310540914,'',"""xy"""
1582679262029954970,,10,,1582679262,29858112,'',"""CLOCKWISE"""
1582679268073177109,,11,,1582679268,73041915,'',"""DOWN"""
1582679271959587616,,12,,1582679271,959486007,'',"""yt"""
1582679274746995406,,13,,1582679274,746845960,'',"""LEFT"""
1582679279185328002,,14,,1582679279,185147047,'',"""yt"""
1582679282250714866,,15,,1582679282,250618934,'',"""UP"""
1582679285904460297,,16,,1582679285,901756048,'',"""yt"""
1582679289136444649,,17,,1582679289,136173009,'',"""COUNTERCLOCKWISE"""
1582679294049834558,,18,,1582679294,49724102,'',"""yx"""
1582679296837583603,,19,,1582679296,837444067,'',"""xy"""
1582679299372125628,,20,,1582679299,371109962,'',"""COUNTERCLOCKWISE"""
1582679305417755525,,21,,1582679305,417633056,'',"""DOWN"""
1582679309133178745,,22,,1582679309,133054018,'',"""xt"""
1582679312211843055,,23,,1582679312,211718082,'',"""tx"""
1582679315258031702,,24,,1582679315,257936954,'',"""tx"""
1582679318145704255,,25,,1582679318,145570993,'',"""LEFT"""
1582679322541505351,,26,,1582679322,541410923,'',"""xy"""
1582679326660581817,,27,,1582679326,660422086,'',"""COUNTERCLOCKWISE"""
1582679332712704368,,28,,1582679332,712606906,'',"""COUNTERCLOCKWISE"""
1582679338512301592,,29,,1582679338,512200117,'',"""yx"""
1582679341283358882,,30,,1582679341,283220052,'',"""RIGHT"""
1582679345733764796,,31,,1582679345,733664035,'',"""ty"""
1582679348641657790,,32,,1582679348,641515970,'',"""xt"""
1582679352606685024,,33,,1582679352,605395078,'',"""tx"""
1582679355798908141,,34,,1582679355,798791885,'',"""UP"""
1582679360051613011,,35,,1582679360,51481962,'',"""yt"""
1582679363523556279,,36,,1582679363,523416042,'',"""ty"""
1582679367893798741,,37,,1582679367,893635034,'',"""DOWN"""
1582679371590095297,,38,,1582679371,589067935,'',"""CLOCKWISE"""
1582679377274049776,,39,,1582679377,273586988,'',"""CLOCKWISE"""
1582679381829848191,,40,,1582679381,829739093,'',"""yx"""
1582679384564986722,,41,,1582679384,564867973,'',"""CLOCKWISE"""
1582679389261847873,,42,,1582679389,261756896,'',"""tx"""
1582679392186189382,,43,,1582679392,186005115,'',"""yx"""
1582679394994853648,,44,,1582679394,994707107,'',"""RIGHT"""
1582679399450338431,,45,,1582679399,450217962,'',"""RIGHT"""
1582679403714443002,,46,,1582679403,714334964,'',"""LEFT"""
1582679408034440034,,47,,1582679408,34327983,'',"""UP"""
1582679411402612996,,48,,1582679411,401396036,'',"""ty"""
