rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582679230095094810,,1,,1582679230,94944164,'',"[0.0, 0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230104200531,,2,,1582679230,104041531,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230110060667,,3,,1582679230,109972736,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230116052778,,4,,1582679230,115965610,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230120160076,,5,,1582679230,120006898,'',"[-0.0, -0.0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230128139393,,6,,1582679230,128015281,'',"[-0.0016271184431388974, -0.0016271184431388974]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230134167039,,7,,1582679230,134014744,'',"[-0.012453158386051655, -0.012453158386051655]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230142185647,,8,,1582679230,142019244,'',"[-0.023311322554945946, -0.023311322554945946]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230146090941,,9,,1582679230,145980653,'',"[-0.03416948765516281, -0.03416948765516281]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230148147996,,10,,1582679230,147997308,'',"[-0.04502765089273453, -0.04502765089273453]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230156386786,,11,,1582679230,156008075,'',"[-0.055885814130306244, -0.055885814130306244]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230162143387,,12,,1582679230,162021761,'',"[-0.06671185791492462, -0.06671185791492462]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230168162084,,13,,1582679230,168021962,'',"[-0.07757002115249634, -0.07757002115249634]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230174171022,,14,,1582679230,174035165,'',"[-0.08842818439006805, -0.08842818439006805]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230182137378,,15,,1582679230,182007271,'',"[-0.09928634762763977, -0.09928634762763977]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230188191589,,16,,1582679230,188011471,'',"[-0.11014451086521149, -0.11014451086521149]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230198215907,,17,,1582679230,198034123,'',"[-0.1210026741027832, -0.1210026741027832]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230204174367,,18,,1582679230,203994464,'',"[-0.13182871043682098, -0.13182871043682098]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230214126681,,19,,1582679230,214018090,'',"[-0.1426868885755539, -0.1426868885755539]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230222139744,,20,,1582679230,222001961,'',"[-0.1535450518131256, -0.1535450518131256]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230232250794,,21,,1582679230,232070222,'',"[-0.16440321505069733, -0.16440321505069733]","[1, 0, 0, 0, 0, 0, 0, 0]"
1582679230242139541,,22,,1582679230,241986291,'',"[-0.17526137828826904, -0.17526137828826904]","[1, 0, 0, 0, 0, 0, 0, 0]"
