rosbagTimestamp,data
1582594032942411790,"""22.pkl"""
1582594039020764362,"""0.pkl"""
1582594043454191628,"""15.pkl"""
1582594049507479081,"""38.pkl"""
1582594053895682462,"""27.pkl"""
1582594058427639324,"""40.pkl"""
1582594063811440101,"""4.pkl"""
1582594068471003687,"""47.pkl"""
1582594072883953223,"""3.pkl"""
1582594077414888491,"""44.pkl"""
1582594080570893966,"""46.pkl"""
1582594083606952537,"""39.pkl"""
1582594087402142948,"""41.pkl"""
1582594090793893194,"""10.pkl"""
1582594095296247779,"""37.pkl"""
1582594099681427284,"""17.pkl"""
1582594105748738754,"""18.pkl"""
1582594111801407837,"""12.pkl"""
1582594117828692104,"""20.pkl"""
1582594123873239298,"""7.pkl"""
1582594129925228961,"""16.pkl"""
1582594135995935736,"""2.pkl"""
1582594140099577248,"""13.pkl"""
1582594145217052249,"""42.pkl"""
1582594148684462322,"""8.pkl"""
1582594154705790886,"""26.pkl"""
1582594158636659380,"""34.pkl"""
1582594162489791726,"""14.pkl"""
1582594168517647526,"""43.pkl"""
1582594173547290365,"""11.pkl"""
1582594179362330713,"""28.pkl"""
1582594182636906138,"""32.pkl"""
1582594186502027528,"""25.pkl"""
1582594190500690959,"""23.pkl"""
1582594196545647034,"""31.pkl"""
1582594201405391887,"""33.pkl"""
1582594204958978330,"""5.pkl"""
1582594210395519466,"""30.pkl"""
1582594214130067624,"""29.pkl"""
1582594218515326360,"""21.pkl"""
1582594224574190179,"""35.pkl"""
1582594228267659021,"""45.pkl"""
1582594232419394314,"""36.pkl"""
1582594235458061800,"""9.pkl"""
1582594240438943773,"""6.pkl"""
1582594244557669823,"""1.pkl"""
1582594250343058947,"""24.pkl"""
1582594254113664700,"""19.pkl"""
