rosbagTimestamp,data
1582594032941339616,"""start"""
1582594037991391694,"""end"""
1582594039019466681,"""start"""
1582594042427226752,"""end"""
1582594043453772687,"""start"""
1582594048479202152,"""end"""
1582594049507340704,"""start"""
1582594052364140454,"""end"""
1582594053894304010,"""start"""
1582594056899433154,"""end"""
1582594058422970428,"""start"""
1582594062301787387,"""end"""
1582594063810525366,"""start"""
1582594067437675419,"""end"""
1582594068465452205,"""start"""
1582594071355374922,"""end"""
1582594072883540218,"""start"""
1582594076391127773,"""end"""
1582594077414775053,"""start"""
1582594079042101459,"""end"""
1582594080570158328,"""start"""
1582594082076743736,"""end"""
1582594083605867816,"""start"""
1582594085882885794,"""end"""
1582594087400926852,"""start"""
1582594089263103730,"""end"""
1582594090793255661,"""start"""
1582594094266532734,"""end"""
1582594095295826602,"""start"""
1582594098150304662,"""end"""
1582594099680465586,"""start"""
1582594104720005348,"""end"""
1582594105747813737,"""start"""
1582594110772489271,"""end"""
1582594111800655673,"""start"""
1582594116808452979,"""end"""
1582594117828698177,"""start"""
1582594122844436754,"""end"""
1582594123872753652,"""start"""
1582594128897864341,"""end"""
1582594129924711454,"""start"""
1582594134966237921,"""end"""
1582594135995697675,"""start"""
1582594139068020294,"""end"""
1582594140095714445,"""start"""
1582594144187520664,"""end"""
1582594145214562655,"""start"""
1582594147154495205,"""end"""
1582594148683363084,"""start"""
1582594153674470342,"""end"""
1582594154702073968,"""start"""
1582594157108773459,"""end"""
1582594158636252130,"""start"""
1582594160961190888,"""end"""
1582594162489012187,"""start"""
1582594167496711462,"""end"""
1582594168517569598,"""start"""
1582594172014874503,"""end"""
1582594173546425975,"""start"""
1582594178334920976,"""end"""
1582594179361534182,"""start"""
1582594181103205286,"""end"""
1582594182631531834,"""start"""
1582594184970793850,"""end"""
1582594186500756815,"""start"""
1582594188972240048,"""end"""
1582594190499352843,"""start"""
1582594195527161833,"""end"""
1582594196546766680,"""start"""
1582594199876910786,"""end"""
1582594201404530205,"""start"""
1582594203428227816,"""end"""
1582594204958304647,"""start"""
1582594209365265245,"""end"""
1582594210393029067,"""start"""
1582594212598942750,"""end"""
1582594214127486772,"""start"""
1582594216984276274,"""end"""
1582594218514716672,"""start"""
1582594223553620052,"""end"""
1582594224573878998,"""start"""
1582594226738373133,"""end"""
1582594228267385932,"""start"""
1582594230890677654,"""end"""
1582594232418645053,"""start"""
1582594233924637963,"""end"""
1582594235453847839,"""start"""
1582594239410788808,"""end"""
1582594240438144588,"""start"""
1582594243529027929,"""end"""
1582594244557161287,"""start"""
1582594249314728803,"""end"""
1582594250342486829,"""start"""
1582594252582618082,"""end"""
1582594254113252681,"""start"""
1582594259135594689,"""end"""
