rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1581709608652573975,,1,,1581709608,649389028,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1581709608674702413,,2,,1581709608,674031019,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709608690616476,,3,,1581709608,689971923,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709608725485357,,4,,1581709608,722378969,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709608753231210,,5,,1581709608,750469923,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709608773714541,,6,,1581709608,770466089,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1581709608799378028,,7,,1581709608,796324968,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1581709608817685450,,8,,1581709608,814488887,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1581709608874500338,,9,,1581709608,872381925,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1581709608892359154,,10,,1581709608,890258073,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1581709608908051303,,11,,1581709608,906163930,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581709608920283984,,12,,1581709608,918199062,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709608937710743,,13,,1581709608,936150074,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709608951438524,,14,,1581709608,950088024,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709608969873800,,15,,1581709608,968229055,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709608994329064,,16,,1581709608,992377042,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1581709609035021697,,17,,1581709609,32381057,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709609038320860,,18,,1581709609,36142110,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1581709609041294583,,19,,1581709609,38429975,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709609043620890,,20,,1581709609,41368961,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1581709609046131708,,21,,1581709609,44198036,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709609169532383,,22,,1581709609,166454076,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609207136076,,23,,1581709609,204381942,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609210770803,,24,,1581709609,208151102,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609213627691,,25,,1581709609,210925102,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609241493561,,26,,1581709609,238385915,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609244114031,,27,,1581709609,241636037,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609247067530,,28,,1581709609,244442939,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609255253205,,29,,1581709609,252332925,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609257849171,,30,,1581709609,255233049,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609289893939,,31,,1581709609,286570072,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609309295735,,32,,1581709609,306438922,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609312735642,,33,,1581709609,309422969,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609315411013,,34,,1581709609,312798023,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609320668165,,35,,1581709609,318305015,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609326863206,,36,,1581709609,324237108,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609455622117,,37,,1581709609,452572107,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581709609458282683,,38,,1581709609,455821990,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609483092555,,39,,1581709609,480423927,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609541748762,,40,,1581709609,538494110,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609545209214,,41,,1581709609,542221069,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609548206071,,42,,1581709609,545268058,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609550855985,,43,,1581709609,548247098,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609605506577,,44,,1581709609,602536916,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609625032303,,45,,1581709609,622354984,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709609641224974,,46,,1581709609,638398885,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1581709609660276863,,47,,1581709609,656431913,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1581709609676464899,,48,,1581709609,674289941,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1581709609713768305,,49,,1581709609,712234973,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1581709609733796295,,50,,1581709609,730350017,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1581709609736333699,,51,,1581709609,733432054,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1581709609741322506,,52,,1581709609,738272905,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1581709609744562459,,53,,1581709609,741267919,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1581709609748418789,,54,,1581709609,744674921,"""Soft Puff""",[-0.13182871043682098],"[0, 1, 0, 0]"
1581709609759107864,,55,,1581709609,756431102,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1581709609767408245,,56,,1581709609,764404058,"""Soft Puff""",[-0.11014451086521149],"[0, 1, 0, 0]"
1581709609770016560,,57,,1581709609,767461061,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1581709609778073386,,58,,1581709609,774327993,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1581709609780347972,,59,,1581709609,777180910,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1581709609785097855,,60,,1581709609,782313108,"""Soft Puff""",[-0.06671185791492462],"[0, 1, 0, 0]"
1581709609787669742,,61,,1581709609,785141944,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1581709609793077634,,62,,1581709609,790194034,"""Soft Puff""",[-0.04502765089273453],"[0, 1, 0, 0]"
1581709609795661161,,63,,1581709609,793214082,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1581709609800918734,,64,,1581709609,798316001,"""Soft Puff""",[-0.012453158386051655],"[0, 1, 0, 0]"
1581709609804908561,,65,,1581709609,802262067,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1581709609807746435,,66,,1581709609,805032968,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609810463354,,67,,1581709609,808161020,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609813767195,,68,,1581709609,810734033,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609815947010,,69,,1581709609,813524007,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609820693338,,70,,1581709609,818206071,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609831850103,,71,,1581709609,829196929,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709609832820683,,72,,1581709609,829196929,"""input stopped""",[-0.0],"[0, 0, 0, 0]"
1581709611414025647,,73,,1581709611,413043975,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709611424883397,,74,,1581709611,424014091,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709611430903726,,75,,1581709611,429959058,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709611441111927,,76,,1581709611,438312053,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1581709611444950194,,77,,1581709611,442236900,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
