rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,mode
1582324902161256987,,1,,1582324902,161077022,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902169960823,,2,,1582324902,169619083,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902180578536,,3,,1582324902,179789066,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902190122490,,4,,1582324902,189843893,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902199977869,,5,,1582324902,199727058,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902210276049,,6,,1582324902,209810972,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902220743135,,7,,1582324902,219763040,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902230520309,,8,,1582324902,229827880,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902240881129,,9,,1582324902,239885091,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902250265073,,10,,1582324902,249777078,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902259713140,,11,,1582324902,259588956,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902275804636,,12,,1582324902,272895097,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902288544640,,13,,1582324902,288350105,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902299209694,,14,,1582324902,298094987,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902306514013,,15,,1582324902,306390047,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902313580361,,16,,1582324902,313436031,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902320817238,,17,,1582324902,320660114,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902330615965,,18,,1582324902,329674959,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902339860480,,19,,1582324902,339698076,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902349974849,,20,,1582324902,349713087,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902359877279,,21,,1582324902,359718084,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902369868951,,22,,1582324902,369700908,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902379999758,,23,,1582324902,379781007,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902389865100,,24,,1582324902,389704942,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902399999682,,25,,1582324902,399842977,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902409892154,,26,,1582324902,409737110,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902419933850,,27,,1582324902,419760942,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
1582324902431485043,,28,,1582324902,430224895,'',"[7.5, 5.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""y"""
