rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582324637397374580,,1,,1582324637,396193027,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582324637410011680,,2,,1582324637,409181118,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582324637417993434,,3,,1582324637,417165040,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582324637426001709,,4,,1582324637,425144910,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582324637434379811,,5,,1582324637,433248043,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582324637442280603,,6,,1582324637,441175937,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1582324637458699059,,7,,1582324637,453231096,"""Zero Band""",[-0.012453158386051655],"[0, 0, 0, 0]"
1582324637475504571,,8,,1582324637,469161987,"""Zero Band""",[-0.023311322554945946],"[0, 0, 0, 0]"
1582324637506896843,,9,,1582324637,483627080,"""Zero Band""",[-0.03416948765516281],"[0, 0, 0, 0]"
1582324637522474831,,10,,1582324637,507179975,"""Zero Band""",[-0.023311322554945946],"[0, 0, 0, 0]"
1582324637532573210,,11,,1582324637,522213935,"""Zero Band""",[-0.03416948765516281],"[0, 0, 0, 0]"
1582324637539193351,,12,,1582324637,532591104,"""Zero Band""",[-0.04502765089273453],"[0, 0, 0, 0]"
1582324637545293927,,13,,1582324637,539176940,"""Zero Band""",[-0.055885814130306244],"[0, 0, 0, 0]"
1582324637550136076,,14,,1582324637,545315980,"""Zero Band""",[-0.06671185791492462],"[0, 0, 0, 0]"
1582324637555357774,,15,,1582324637,549962043,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324637559634162,,16,,1582324637,555162906,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324637576537706,,17,,1582324637,571243047,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324637580898805,,18,,1582324637,576535940,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324637586991744,,19,,1582324637,580929040,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324637626323314,,20,,1582324637,613588094,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324637633272403,,21,,1582324637,626374006,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324637652961985,,22,,1582324637,647274971,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324637697739714,,23,,1582324637,691291093,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324637702815480,,24,,1582324637,697748899,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324637725651953,,25,,1582324637,719343900,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324637759198852,,26,,1582324637,753233909,"""Zero Band""",[-0.11014451086521149],"[0, 0, 0, 0]"
1582324637778861724,,27,,1582324637,773250102,"""Zero Band""",[-0.1210026741027832],"[0, 0, 0, 0]"
1582324637804969115,,28,,1582324637,791591882,"""Zero Band""",[-0.13182871043682098],"[0, 0, 0, 0]"
1582324637812123671,,29,,1582324637,805234909,"""Zero Band""",[-0.1426868885755539],"[0, 0, 0, 0]"
1582324637828528522,,30,,1582324637,823225021,"""Zero Band""",[-0.1535450518131256],"[0, 0, 0, 0]"
1582324637856633094,,31,,1582324637,851298093,"""Zero Band""",[-0.16440321505069733],"[0, 0, 0, 0]"
1582324637887966851,,32,,1582324637,883255004,"""Zero Band""",[-0.17526137828826904],"[0, 0, 0, 0]"
1582324637916427775,,33,,1582324637,911305904,"""Zero Band""",[-0.18608741462230682],"[0, 0, 0, 0]"
1582324637968281431,,34,,1582324637,963296890,"""Zero Band""",[-0.19694557785987854],"[0, 0, 0, 0]"
1582324637976805458,,35,,1582324637,971348047,"""Zero Band""",[-0.18608741462230682],"[0, 0, 0, 0]"
1582324637980685233,,36,,1582324637,976583957,"""Zero Band""",[-0.19694557785987854],"[0, 0, 0, 0]"
1582324637985983702,,37,,1582324637,980736970,"""Zero Band""",[-0.18608741462230682],"[0, 0, 0, 0]"
1582324638025250900,,38,,1582324638,3603935,"""Zero Band""",[-0.17526137828826904],"[0, 0, 0, 0]"
1582324638033335530,,39,,1582324638,24660110,"""Zero Band""",[-0.16440321505069733],"[0, 0, 0, 0]"
1582324638040952433,,40,,1582324638,33350944,"""Zero Band""",[-0.1535450518131256],"[0, 0, 0, 0]"
1582324638046296470,,41,,1582324638,40936946,"""Zero Band""",[-0.1426868885755539],"[0, 0, 0, 0]"
1582324638052943989,,42,,1582324638,46221971,"""Zero Band""",[-0.13182871043682098],"[0, 0, 0, 0]"
1582324638057209153,,43,,1582324638,52750110,"""Zero Band""",[-0.1210026741027832],"[0, 0, 0, 0]"
1582324638062447119,,44,,1582324638,57240962,"""Zero Band""",[-0.11014451086521149],"[0, 0, 0, 0]"
1582324638067276828,,45,,1582324638,62484025,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324638073358959,,46,,1582324638,67286014,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324638077417672,,47,,1582324638,73223114,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324638101914995,,48,,1582324638,97280025,"""Zero Band""",[-0.06671185791492462],"[0, 0, 0, 0]"
1582324638108541116,,49,,1582324638,103218078,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324638112428026,,50,,1582324638,108503103,"""Zero Band""",[-0.06671185791492462],"[0, 0, 0, 0]"
1582324638121219047,,51,,1582324638,117191076,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324638126560461,,52,,1582324638,121205091,"""Zero Band""",[-0.06671185791492462],"[0, 0, 0, 0]"
1582324638130744477,,53,,1582324638,126590013,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324638161446141,,54,,1582324638,157212972,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324638166686957,,55,,1582324638,161240100,"""Zero Band""",[-0.07757002115249634],"[0, 0, 0, 0]"
1582324638170911822,,56,,1582324638,166707038,"""Zero Band""",[-0.08842818439006805],"[0, 0, 0, 0]"
1582324638181066082,,57,,1582324638,177153110,"""Zero Band""",[-0.09928634762763977],"[0, 0, 0, 0]"
1582324638198299812,,58,,1582324638,193304061,"""Zero Band""",[-0.11014451086521149],"[0, 0, 0, 0]"
1582324638213753472,,59,,1582324638,209264993,"""Zero Band""",[-0.1210026741027832],"[0, 0, 0, 0]"
1582324638233925400,,60,,1582324638,229309082,"""Zero Band""",[-0.13182871043682098],"[0, 0, 0, 0]"
1582324638263978679,,61,,1582324638,259274959,"""Zero Band""",[-0.1426868885755539],"[0, 0, 0, 0]"
1582324638269079154,,62,,1582324638,263978958,"""Zero Band""",[-0.13182871043682098],"[0, 0, 0, 0]"
1582324638272772073,,63,,1582324638,269104003,"""Zero Band""",[-0.1426868885755539],"[0, 0, 0, 0]"
1582324638298382017,,64,,1582324638,293260097,"""Zero Band""",[-0.1535450518131256],"[0, 0, 0, 0]"
1582324638302436832,,65,,1582324638,298405885,"""Zero Band""",[-0.1426868885755539],"[0, 0, 0, 0]"
1582324638308079772,,66,,1582324638,302258014,"""Zero Band""",[-0.1535450518131256],"[0, 0, 0, 0]"
