rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,robot_continuous_position,robot_continuous_orientation,robot_linear_velocity,robot_angular_velocity,robot_discrete_state,discrete_location,discrete_orientation,mode
1582324635843592875,,1,,1582324635,843478918,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635853877485,,2,,1582324635,853697061,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635863845748,,3,,1582324635,863632917,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635882186618,,4,,1582324635,878398895,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635907266972,,5,,1582324635,905067920,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635918808621,,6,,1582324635,918370008,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635928062904,,7,,1582324635,927791118,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635938753932,,8,,1582324635,937870025,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635947991248,,9,,1582324635,947773933,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635958504746,,10,,1582324635,957793951,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635968915271,,11,,1582324635,968039035,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324635985278892,,12,,1582324635,981740951,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636000912473,,13,,1582324635,999468088,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636009648175,,14,,1582324636,9305953,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636018240968,,15,,1582324636,17282009,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636024199322,,16,,1582324636,24070024,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636032018182,,17,,1582324636,31126976,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636038654572,,18,,1582324636,37961006,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636052993001,,19,,1582324636,50748109,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636065835002,,20,,1582324636,64435958,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
1582324636075313288,,21,,1582324636,74096918,'',"[22.5, 15.0]",0.0,"[0.0, 0.0]",-0.0,,"""p0""",0.0,"""x"""
