rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582148188834028613,,1,,1582148188,833589076,'',"""1"""
1582148190434953847,,2,,1582148190,434495925,'',"""3"""
1582148192035385194,,3,,1582148192,35108089,'',"""3"""
1582148193919501313,,4,,1582148193,919030904,'',"""1"""
1582148195169776690,,5,,1582148195,169540882,'',"""3"""
1582148196804123744,,6,,1582148196,803956031,'',"""4"""
1582148198688093719,,7,,1582148198,687905073,'',"""4"""
1582148200522333298,,8,,1582148200,522139072,'',"""1"""
1582148201489232383,,9,,1582148201,489082098,'',"""1"""
1582148202906672441,,10,,1582148202,906388998,'',"""3"""
1582148206691582926,,11,,1582148206,691143035,'',"""2"""
1582148208125678472,,12,,1582148208,125313997,'',"""3"""
1582148209293122393,,13,,1582148209,292737007,'',"""3"""
1582148210693478042,,14,,1582148210,693291902,'',"""1"""
1582148212060495417,,15,,1582148212,60219049,'',"""4"""
1582148213077613010,,16,,1582148213,77414989,'',"""3"""
1582148214311189451,,17,,1582148214,310978889,'',"""3"""
1582148216195792888,,18,,1582148216,195466041,'',"""4"""
1582148217879636096,,19,,1582148217,879412889,'',"""2"""
1582148219313690661,,20,,1582148219,313450098,'',"""1"""
1582148220263881843,,21,,1582148220,263664960,'',"""2"""
1582148221264453733,,22,,1582148221,264141082,'',"""1"""
1582148222465230189,,23,,1582148222,465018987,'',"""2"""
1582148223832029620,,24,,1582148223,831767082,'',"""1"""
1582148225099468042,,25,,1582148225,99134922,'',"""3"""
1582148226600007521,,26,,1582148226,599756956,'',"""2"""
1582148228334277713,,27,,1582148228,333899974,'',"""3"""
1582148229302145896,,28,,1582148229,301822900,'',"""4"""
1582148231218936462,,29,,1582148231,218666076,'',"""2"""
1582148234653426200,,30,,1582148234,653083086,'',"""4"""
1582148236404270076,,31,,1582148236,404025077,'',"""2"""
1582148237705040969,,32,,1582148237,704709053,'',"""1"""
1582148238805234067,,33,,1582148238,805028915,'',"""2"""
1582148240572588222,,34,,1582148240,572302103,'',"""4"""
1582148242523609835,,35,,1582148242,523164987,'',"""2"""
1582148243640550093,,36,,1582148243,640301942,'',"""3"""
1582148253712032954,,37,,1582148253,711759090,'',"""3"""
1582148254812338769,,38,,1582148254,812037944,'',"""4"""
1582148256112898294,,39,,1582148256,112615108,'',"""3"""
1582148257413160429,,40,,1582148257,412878990,'',"""1"""
1582148258397466688,,41,,1582148258,396882057,'',"""3"""
1582148260131101814,,42,,1582148260,130790948,'',"""3"""
1582148261381307811,,43,,1582148261,381164073,'',"""1"""
1582148262565133332,,44,,1582148262,564960956,'',"""3"""
1582148264968880328,,45,,1582148264,968666076,'',"""1"""
1582148265983579509,,46,,1582148265,983163118,'',"""2"""
1582148267267548688,,47,,1582148267,267235040,'',"""2"""
1582148268434788637,,48,,1582148268,434438943,'',"""4"""
1582148269203290188,,49,,1582148269,203027009,'',"""4"""
1582148272337171548,,50,,1582148272,336478948,'',"""1"""
1582148273320520777,,51,,1582148273,319948911,'',"""2"""
1582148274987717748,,52,,1582148274,987451076,'',"""1"""
1582148278655533611,,53,,1582148278,655289888,'',"""1"""
1582148280073600139,,54,,1582148280,73201894,'',"""1"""
1582148281156815499,,55,,1582148281,156598091,'',"""1"""
