rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582161533911893203,,1,,1582161533,911134958,'',"""right"""
1582161535628942479,,2,,1582161535,628415107,'',''
1582161535645807873,,3,,1582161535,645169973,'',"""down"""
1582161540147128898,,4,,1582161540,146620035,'',''
1582161540163916536,,5,,1582161540,163352012,'',"""mode_switch_left_3"""
1582161541815546505,,6,,1582161541,814335107,'',''
1582161541831052137,,7,,1582161541,830712080,'',"""clockwise"""
1582161543282323352,,8,,1582161543,281692981,'',''
1582161543299027802,,9,,1582161543,298429965,'',"""up"""
1582161544499321056,,10,,1582161544,498744010,'',''
1582161544515574556,,11,,1582161544,515130043,'',"""mode_switch_right_1"""
1582161546116534571,,12,,1582161546,115983963,'',''
1582161546133226744,,13,,1582161546,132675886,'',"""left"""
1582161548767458094,,14,,1582161548,766962051,'',''
1582161548784300227,,15,,1582161548,783761978,'',"""clockwise"""
1582161549918241706,,16,,1582161549,917695045,'',''
1582161549935100578,,17,,1582161549,934489011,'',"""down"""
1582161551235218075,,18,,1582161551,234982013,'',''
1582161551251439112,,19,,1582161551,251128911,'',"""mode_switch_left_3"""
1582161553786640060,,20,,1582161553,786127090,'',''
1582161553803390644,,21,,1582161553,802831888,'',"""up"""
1582161555004124070,,22,,1582161555,3436088,'',''
1582161555020864514,,23,,1582161555,20184040,'',"""mode_switch_right_1"""
1582161556271107678,,24,,1582161556,270529985,'',''
1582161556287685751,,25,,1582161556,287094116,'',"""mode_switch_right_3"""
1582161558138569062,,26,,1582161558,137983083,'',''
1582161558155296731,,27,,1582161558,154704093,'',"""mode_switch_right_2"""
1582161560189325223,,28,,1582161560,188762903,'',''
1582161560205864413,,29,,1582161560,205327987,'',"""mode_switch_right_3"""
1582161562790489257,,30,,1582161562,789944887,'',''
1582161562807276955,,31,,1582161562,806688070,'',"""mode_switch_right_2"""
1582161564174185894,,32,,1582161564,173604011,'',''
1582161564190878422,,33,,1582161564,190289974,'',"""mode_switch_left_1"""
1582161565358010625,,34,,1582161565,357445955,'',''
1582161565374739135,,35,,1582161565,374154090,'',"""mode_switch_left_1"""
1582161566509985027,,36,,1582161566,509774923,'',''
1582161566524609685,,37,,1582161566,524334907,'',"""counterclockwise"""
1582161567975933692,,38,,1582161567,975404024,'',''
1582161567992698122,,39,,1582161567,992126941,'',"""mode_switch_left_3"""
1582161571110689018,,40,,1582161571,110110044,'',''
1582161571127452147,,41,,1582161571,126871109,'',"""counterclockwise"""
1582161573978404804,,42,,1582161573,977910041,'',''
1582161573995331250,,43,,1582161573,994802951,'',"""left"""
1582161575279181008,,44,,1582161575,278645038,'',''
1582161575295831004,,45,,1582161575,295351028,'',"""mode_switch_right_1"""
1582161576746440069,,46,,1582161576,745878934,'',''
1582161576763102175,,47,,1582161576,762577056,'',"""mode_switch_left_2"""
1582161578680561900,,48,,1582161578,680025100,'',''
1582161578697365915,,49,,1582161578,696816921,'',"""mode_switch_left_2"""
1582161580464737140,,50,,1582161580,464183092,'',''
1582161580481196643,,51,,1582161580,480705022,'',"""right"""
1582161582132157985,,52,,1582161582,131578922,'',''
1582161582148775373,,53,,1582161582,148231983,'',"""down"""
1582161583382534153,,54,,1582161583,381927967,'',''
1582161583399253196,,55,,1582161583,398633956,'',"""mode_switch_left_2"""
1582161585033407158,,56,,1582161585,32852888,'',''
1582161585050128352,,57,,1582161585,49521923,'',"""right"""
1582161586417377497,,58,,1582161586,416791915,'',''
1582161586434035980,,59,,1582161586,433434009,'',"""up"""
1582161587851253426,,60,,1582161587,850728988,'',''
1582161587867917639,,61,,1582161587,867367982,'',"""left"""
1582161589185073240,,62,,1582161589,184550046,'',''
1582161589201610082,,63,,1582161589,201072931,'',"""mode_switch_right_2"""
1582161591819463715,,64,,1582161591,818938970,'',''
1582161591836304875,,65,,1582161591,835757970,'',"""mode_switch_left_1"""
1582161593102596609,,66,,1582161593,102319955,'',''
1582161593119629551,,67,,1582161593,119261980,'',"""clockwise"""
1582161594520513371,,68,,1582161594,519943952,'',''
1582161594537498205,,69,,1582161594,536897897,'',"""mode_switch_right_3"""
1582161598905859314,,70,,1582161598,905266046,'',''
1582161598922552831,,71,,1582161598,922045946,'',"""counterclockwise"""
1582161602957790276,,72,,1582161602,957062005,'',"""hard_puff_training"""
