rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582316938868622905,,1,,1582316938,868007898,'',"""DOWN"""
1582316946228374324,,2,,1582316946,228245019,'',"""xy"""
1582316949549606899,,3,,1582316949,547610044,'',"""UP"""
1582316955099966501,,4,,1582316955,99286079,'',"""CLOCKWISE"""
1582316963483866861,,5,,1582316963,483313083,'',"""DOWN"""
1582316969847361731,,6,,1582316969,846570968,'',"""COUNTERCLOCKWISE"""
1582316977617096344,,7,,1582316977,616267919,'',"""UP"""
1582316982842129713,,8,,1582316982,841073036,'',"""DOWN"""
1582316988899980686,,9,,1582316988,899439096,'',"""xt"""
1582316992684031518,,10,,1582316992,683125019,'',"""RIGHT"""
1582316999548219563,,11,,1582316999,547528028,'',"""xt"""
1582317003381102456,,12,,1582317003,379888057,'',"""xy"""
1582317006982169010,,13,,1582317006,980856895,'',"""tx"""
1582317010700196139,,14,,1582317010,699502944,'',"""COUNTERCLOCKWISE"""
1582317018148481151,,15,,1582317018,147972106,'',"""yx"""
1582317021816351690,,16,,1582317021,815716981,'',"""yt"""
1582317024861725110,,17,,1582317024,861483097,'',"""LEFT"""
1582317031662121583,,18,,1582317031,661874055,'',"""ty"""
1582317035769779990,,19,,1582317035,769527912,'',"""yt"""
1582317039316508205,,20,,1582317039,315778017,'',"""COUNTERCLOCKWISE"""
1582317047239176776,,21,,1582317047,238236904,'',"""RIGHT"""
1582317055185442388,,22,,1582317055,184500932,'',"""xy"""
1582317058016004769,,23,,1582317058,15515089,'',"""tx"""
1582317060981961290,,24,,1582317060,980770111,'',"""tx"""
1582317064325197872,,25,,1582317064,324685096,'',"""xt"""
1582317068216310822,,26,,1582317068,216083049,'',"""yt"""
1582317072623835136,,27,,1582317072,622939109,'',"""CLOCKWISE"""
1582317080290799485,,28,,1582317080,290328979,'',"""DOWN"""
1582317085649544910,,29,,1582317085,649306058,'',"""xt"""
1582317088886613207,,30,,1582317088,886260986,'',"""xy"""
1582317092973865683,,31,,1582317092,973676919,'',"""COUNTERCLOCKWISE"""
1582317101349235317,,32,,1582317101,348584890,'',"""tx"""
1582317105281572054,,33,,1582317105,280914068,'',"""yt"""
1582317108217923841,,34,,1582317108,217350006,'',"""CLOCKWISE"""
1582317117170421831,,35,,1582317117,169956922,'',"""ty"""
1582317120534117872,,36,,1582317120,533500909,'',"""RIGHT"""
1582317127552902510,,37,,1582317127,552663087,'',"""ty"""
1582317132076608816,,38,,1582317132,76252937,'',"""LEFT"""
1582317144118543973,,39,,1582317144,117963075,'',"""RIGHT"""
1582317153901225096,,40,,1582317153,899414062,'',"""UP"""
1582317159655624951,,41,,1582317159,655272960,'',"""ty"""
1582317163602105047,,42,,1582317163,601589918,'',"""LEFT"""
1582317172586051391,,43,,1582317172,584958076,'',"""yx"""
1582317175822764666,,44,,1582317175,822365999,'',"""yx"""
1582317178719211606,,45,,1582317178,718648910,'',"""UP"""
1582317185141125749,,46,,1582317185,140404939,'',"""xy"""
1582317188767754584,,47,,1582317188,767297983,'',"""LEFT"""
1582317195451282514,,48,,1582317195,450702905,'',"""RIGHT"""
1582317202481634367,,49,,1582317202,481043100,'',"""xt"""
1582317206715946312,,50,,1582317206,715482950,'',"""yt"""
1582317209681375828,,51,,1582317209,680502891,'',"""yx"""
1582317212702306457,,52,,1582317212,701582908,'',"""LEFT"""
1582317221042184428,,53,,1582317221,41965007,'',"""DOWN"""
1582317226735209005,,54,,1582317226,734719991,'',"""COUNTERCLOCKWISE"""
1582317233771968532,,55,,1582317233,771361112,'',"""yx"""
1582317236938034203,,56,,1582317236,937745094,'',"""tx"""
1582317239834823999,,57,,1582317239,834218978,'',"""CLOCKWISE"""
1582317246903293935,,58,,1582317246,901845932,'',"""UP"""
1582317252035714633,,59,,1582317252,35214900,'',"""CLOCKWISE"""
