rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582316936082244400,,1,,1582316936,81311941,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582316936087166780,,2,,1582316936,86325883,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582316936089358766,,3,,1582316936,88344097,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582316936093296793,,4,,1582316936,92323064,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582316936095254096,,5,,1582316936,94289064,"""Zero Band""",[-0.0016271184431388974],"[0, 0, 0, 0]"
1582316936097173439,,6,,1582316936,96349954,"""Soft Puff""",[-0.023311322554945946],"[0, 1, 0, 0]"
1582316936101324509,,7,,1582316936,100383996,"""Soft Puff""",[-0.03416948765516281],"[0, 1, 0, 0]"
1582316936103048137,,8,,1582316936,102303981,"""Soft Puff""",[-0.055885814130306244],"[0, 1, 0, 0]"
1582316936105046767,,9,,1582316936,104193925,"""Soft Puff""",[-0.07757002115249634],"[0, 1, 0, 0]"
1582316936109129639,,10,,1582316936,108319997,"""Soft Puff""",[-0.08842818439006805],"[0, 1, 0, 0]"
1582316936110949307,,11,,1582316936,110215902,"""Soft Puff""",[-0.09928634762763977],"[0, 1, 0, 0]"
1582316936113115710,,12,,1582316936,112251043,"""Soft Puff""",[-0.1210026741027832],"[0, 1, 0, 0]"
1582316936115098421,,13,,1582316936,114330053,"""Soft Puff""",[-0.1426868885755539],"[0, 1, 0, 0]"
1582316936119417014,,14,,1582316936,118275880,"""Soft Puff""",[-0.1535450518131256],"[0, 1, 0, 0]"
1582316936121065470,,15,,1582316936,120254039,"""Soft Puff""",[-0.17526137828826904],"[0, 1, 0, 0]"
1582316936123151516,,16,,1582316936,122358083,"""Soft Puff""",[-0.19694557785987854],"[0, 1, 0, 0]"
1582316936127420619,,17,,1582316936,126373052,"""Soft Puff""",[-0.20780374109745026],"[0, 1, 0, 0]"
1582316936129185457,,18,,1582316936,128258943,"""Soft Puff""",[-0.2295200675725937],"[0, 1, 0, 0]"
1582316936133352138,,19,,1582316936,132320880,"""Soft Puff""",[-0.2620624303817749],"[0, 1, 0, 0]"
1582316936137177669,,20,,1582316936,136253118,"""Soft Puff""",[-0.2729206085205078],"[0, 1, 0, 0]"
