rosbagTimestamp,data
1582316938868911862,"""9.pkl"""
1582316946228610249,"""30.pkl"""
1582316949549062035,"""2.pkl"""
1582316955102004326,"""27.pkl"""
1582316963484913868,"""6.pkl"""
1582316969847209649,"""23.pkl"""
1582316977617119851,"""3.pkl"""
1582316982841419158,"""8.pkl"""
1582316988900255474,"""36.pkl"""
1582316992684117517,"""10.pkl"""
1582316999548942708,"""38.pkl"""
1582317003380929146,"""34.pkl"""
1582317006981820704,"""53.pkl"""
1582317010701097077,"""20.pkl"""
1582317018149177548,"""43.pkl"""
1582317021817074322,"""46.pkl"""
1582317024862210587,"""15.pkl"""
1582317031662122051,"""55.pkl"""
1582317035770097577,"""49.pkl"""
1582317039316748982,"""21.pkl"""
1582317047239199427,"""13.pkl"""
1582317055185478042,"""31.pkl"""
1582317058015895020,"""51.pkl"""
1582317060981921777,"""54.pkl"""
1582317064325949691,"""35.pkl"""
1582317068216633735,"""48.pkl"""
1582317072625616298,"""26.pkl"""
1582317080293059854,"""7.pkl"""
1582317085649745673,"""37.pkl"""
1582317088886581360,"""33.pkl"""
1582317092973929473,"""22.pkl"""
1582317101349499094,"""50.pkl"""
1582317105281902288,"""45.pkl"""
1582317108220223269,"""28.pkl"""
1582317117170421443,"""57.pkl"""
1582317120534154563,"""12.pkl"""
1582317127553097973,"""59.pkl"""
1582317132076837821,"""19.pkl"""
1582317144119295254,"""11.pkl"""
1582317153902284630,"""4.pkl"""
1582317159655618051,"""58.pkl"""
1582317163602665921,"""16.pkl"""
1582317172586154718,"""42.pkl"""
1582317175822755978,"""40.pkl"""
1582317178720752390,"""0.pkl"""
1582317185141520537,"""32.pkl"""
1582317188770039220,"""18.pkl"""
1582317195453349671,"""14.pkl"""
1582317202481889414,"""39.pkl"""
1582317206717286252,"""47.pkl"""
1582317209681785987,"""41.pkl"""
1582317212703502306,"""17.pkl"""
1582317221042869888,"""5.pkl"""
1582317226737642098,"""24.pkl"""
1582317233772598976,"""44.pkl"""
1582317236938375417,"""52.pkl"""
1582317239835093228,"""25.pkl"""
1582317246902620863,"""1.pkl"""
1582317252036709478,"""29.pkl"""
