rosbagTimestamp,data
1582316936833477517,"""end"""
1582316938868190025,"""start"""
1582316944184690218,"""end"""
1582316946228400589,"""start"""
1582316947516615448,"""end"""
1582316949548045806,"""start"""
1582316953066630244,"""end"""
1582316955099754586,"""start"""
1582316961452122914,"""end"""
1582316963483881208,"""start"""
1582316967816967801,"""end"""
1582316969846710782,"""start"""
1582316975583448613,"""end"""
1582316977616501271,"""start"""
1582316980817028057,"""end"""
1582316982842049520,"""start"""
1582316986853327113,"""end"""
1582316988899937332,"""start"""
1582316990650241432,"""end"""
1582316992684023583,"""start"""
1582316997500670063,"""end"""
1582316999547675786,"""start"""
1582317001333862477,"""end"""
1582317003380231839,"""start"""
1582317004934464867,"""end"""
1582317006981300433,"""start"""
1582317008668340385,"""end"""
1582317010700149655,"""start"""
1582317016101666320,"""end"""
1582317018148165420,"""start"""
1582317019767099926,"""end"""
1582317021816088997,"""start"""
1582317022833766329,"""end"""
1582317024861723931,"""start"""
1582317029618068950,"""end"""
1582317031662304580,"""start"""
1582317033734818206,"""end"""
1582317035769753027,"""start"""
1582317037283830113,"""end"""
1582317039316199315,"""start"""
1582317045201632167,"""end"""
1582317047239138986,"""start"""
1582317053135347046,"""end"""
1582317055185495272,"""start"""
1582317055984293591,"""end"""
1582317058015706599,"""start"""
1582317058933892192,"""end"""
1582317060981183898,"""start"""
1582317062283390640,"""end"""
1582317064325219581,"""start"""
1582317066168632054,"""end"""
1582317068216204668,"""start"""
1582317070596824213,"""end"""
1582317072623336155,"""start"""
1582317078252285062,"""end"""
1582317080291107309,"""start"""
1582317083601877957,"""end"""
1582317085649420588,"""start"""
1582317086852161248,"""end"""
1582317088886369658,"""start"""
1582317090951129205,"""end"""
1582317092973878566,"""start"""
1582317099300831402,"""end"""
1582317101349202672,"""start"""
1582317103234094596,"""end"""
1582317105281091308,"""start"""
1582317106184155349,"""end"""
1582317108217949434,"""start"""
1582317115134213566,"""end"""
1582317117170429029,"""start"""
1582317118501210710,"""end"""
1582317120533540030,"""start"""
1582317125501138606,"""end"""
1582317127553092399,"""start"""
1582317130052498586,"""end"""
1582317132076320816,"""start"""
1582317142084506772,"""end"""
1582317144118112177,"""start"""
1582317151867883717,"""end"""
1582317153899754867,"""start"""
1582317157619502202,"""end"""
1582317159655433701,"""start"""
1582317161567954854,"""end"""
1582317163601951298,"""start"""
1582317170536804222,"""end"""
1582317172585581167,"""start"""
1582317173784767022,"""end"""
1582317175822765947,"""start"""
1582317176684797038,"""end"""
1582317178719239119,"""start"""
1582317183101289222,"""end"""
1582317185140629665,"""start"""
1582317186734671079,"""end"""
1582317188767717621,"""start"""
1582317193418098630,"""end"""
1582317195450892879,"""start"""
1582317200434847184,"""end"""
1582317202481588341,"""start"""
1582317204668280934,"""end"""
1582317206716171598,"""start"""
1582317207634756669,"""end"""
1582317209680670722,"""start"""
1582317210669409063,"""end"""
1582317212701863414,"""start"""
1582317219018310668,"""end"""
1582317221042089415,"""start"""
1582317224703847425,"""end"""
1582317226735498246,"""start"""
1582317231720932661,"""end"""
1582317233771765284,"""start"""
1582317234901751343,"""end"""
1582317236938064905,"""start"""
1582317237801781456,"""end"""
1582317239834964016,"""start"""
1582317244870390095,"""end"""
1582317246901879317,"""start"""
1582317250002972131,"""end"""
1582317252035748313,"""start"""
1582317257901846447,"""end"""
