rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582849106487698873,,1,,1582849106,487283945,'',"""clockwise"""
1582849108990063903,,2,,1582849108,989581108,'',''
1582849109006265252,,3,,1582849109,5940914,'',"""mode_switch_right_1"""
1582849112676251178,,4,,1582849112,675823926,'',''
1582849112692928738,,5,,1582849112,692560911,'',"""mode_switch_right_3"""
1582849114627461596,,6,,1582849114,627125978,'',''
1582849114644569753,,7,,1582849114,644139051,'',"""mode_switch_left_3"""
1582849116312822421,,8,,1582849116,312366962,'',''
1582849116327870616,,9,,1582849116,327692031,'',"""mode_switch_left_2"""
1582849119181178069,,10,,1582849119,180802106,'',''
1582849119197818437,,11,,1582849119,197459936,'',"""left"""
1582849122333685087,,12,,1582849122,333228111,'',''
1582849122350530863,,13,,1582849122,350040912,'',"""mode_switch_right_2"""
1582849125703340781,,14,,1582849125,702892065,'',''
1582849125718912624,,15,,1582849125,718641996,'',"""up"""
1582849128754402274,,16,,1582849128,754117965,'',''
1582849128771343327,,17,,1582849128,771053075,'',"""right"""
1582849130356127204,,18,,1582849130,355765104,'',''
1582849130373550696,,19,,1582849130,373034954,'',"""counterclockwise"""
1582849132658618640,,20,,1582849132,658183097,'',''
1582849132675202794,,21,,1582849132,674679994,'',"""down"""
1582849134476387256,,22,,1582849134,475965023,'',''
1582849134493334719,,23,,1582849134,492839097,'',"""mode_switch_left_1"""
1582849138196280798,,24,,1582849138,195921897,'',"""hard_puff_training"""
1582849147136013953,,25,,1582849147,135641098,'',"""mode_switch_left_1"""
1582849149370917038,,26,,1582849149,370542049,'',''
1582849149387677571,,27,,1582849149,387259960,'',"""counterclockwise"""
1582849151105549442,,28,,1582849151,105123043,'',''
1582849151122645799,,29,,1582849151,122200965,'',"""mode_switch_right_3"""
1582849153040773720,,30,,1582849153,40323972,'',''
1582849153057528112,,31,,1582849153,57080030,'',"""down"""
1582849154709101194,,32,,1582849154,708556890,'',''
1582849154724901731,,33,,1582849154,724539041,'',"""mode_switch_left_3"""
1582849156743170558,,34,,1582849156,742815971,'',''
1582849156759661024,,35,,1582849156,759324073,'',"""right"""
1582849159161634087,,36,,1582849159,161209106,'',''
1582849159178455632,,37,,1582849159,177990913,'',"""left"""
1582849161630400644,,38,,1582849161,630002975,'',''
1582849161647414263,,39,,1582849161,646966934,'',"""clockwise"""
1582849163398148161,,40,,1582849163,397787094,'',''
1582849163414972117,,41,,1582849163,414587974,'',"""mode_switch_right_1"""
1582849165533732228,,42,,1582849165,533253908,'',''
1582849165550282984,,43,,1582849165,549876928,'',"""up"""
1582849167118085902,,44,,1582849167,117641925,'',''
1582849167134870789,,45,,1582849167,134399890,'',"""mode_switch_right_2"""
