rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582849100384581982,,2,,1582849100,383614063,'',"""s"""
1582849108484729710,,3,,1582849108,484456062,'',"""51"""
1582849112170927738,,4,,1582849112,170506000,'',"""49"""
1582849114122518862,,5,,1582849114,122287034,'',"""49"""
1582849115806652951,,6,,1582849115,806416988,'',"""50"""
1582849118676131440,,7,,1582849118,675775051,'',"""50"""
1582849121827870476,,8,,1582849121,827692031,'',"""52"""
1582849125199729192,,9,,1582849125,199455976,'',"""49"""
1582849128249504220,,10,,1582849128,249247074,'',"""51"""
1582849129846401852,,11,,1582849129,846205949,'',"""51"""
1582849132152914379,,12,,1582849132,152684926,'',"""52"""
1582849133970378964,,13,,1582849133,970177888,'',"""52"""
1582849137690438765,,14,,1582849137,690215110,'',"""50"""
1582849139882306428,,15,,1582849139,882064104,'',"""65363"""
1582849140132813238,,16,,1582849140,132448911,'',"""65363"""
1582849140651801550,,17,,1582849140,651412963,'',"""65363"""
1582849141035430010,,18,,1582849141,35068988,'',"""65363"""
1582849148865701919,,19,,1582849148,865386962,'',"""50"""
1582849150600861135,,20,,1582849150,600637912,'',"""52"""
1582849152535309656,,21,,1582849152,535036087,'',"""49"""
1582849154203008895,,22,,1582849154,202791929,'',"""52"""
1582849156238009859,,23,,1582849156,237718105,'',"""50"""
1582849158656358885,,24,,1582849158,656167030,'',"""51"""
1582849161125098899,,25,,1582849161,124831914,'',"""52"""
1582849162892920788,,26,,1582849162,892499923,'',"""51"""
1582849165028319149,,27,,1582849165,28048992,'',"""49"""
1582849166612271334,,28,,1582849166,612023115,'',"""51"""
1582849168981251207,,29,,1582849168,980988979,'',"""49"""
1582849170281884567,,30,,1582849170,281636953,'',"""50"""
1582849172259877372,,31,,1582849172,259588003,'',"""65363"""
1582849172525167212,,32,,1582849172,524888992,'',"""65363"""
1582849172825718805,,33,,1582849172,825351953,'',"""65363"""
1582849173276183872,,34,,1582849173,275681018,'',"""65363"""
1582849180422705503,,35,,1582849180,422482013,'',"""51"""
1582849182859021280,,36,,1582849182,858787059,'',"""50"""
1582849184092444568,,37,,1582849184,92155933,'',"""49"""
1582849187228143567,,38,,1582849187,227731943,'',"""50"""
1582849189213067011,,39,,1582849189,212764024,'',"""51"""
1582849191264443538,,40,,1582849191,264183044,'',"""52"""
1582849193199358372,,41,,1582849193,199150085,'',"""52"""
1582849195468225141,,42,,1582849195,467962026,'',"""50"""
1582849197085963123,,43,,1582849197,85746049,'',"""49"""
1582849198586302728,,44,,1582849198,586041927,'',"""51"""
1582849201032548223,,45,,1582849201,32279968,'',"""52"""
1582849203424460067,,46,,1582849203,424189090,'',"""49"""
1582849205382632002,,47,,1582849205,382309913,'',"""65363"""
1582849205635471434,,48,,1582849205,635080099,'',"""65363"""
1582849206033097240,,49,,1582849206,32776117,'',"""65363"""
1582849206418449912,,50,,1582849206,417970895,'',"""65363"""
1582849215015587859,,51,,1582849215,15295982,'',"""52"""
1582849217735018374,,52,,1582849217,734750032,'',"""50"""
1582849221004444823,,53,,1582849221,4154920,'',"""50"""
1582849223989554321,,54,,1582849223,989237070,'',"""51"""
1582849225957724688,,55,,1582849225,957478046,'',"""50"""
1582849227208512090,,56,,1582849227,208167076,'',"""49"""
1582849228710458245,,57,,1582849228,710154056,'',"""52"""
1582849232490922667,,58,,1582849232,490664958,'',"""51"""
1582849234348090912,,59,,1582849234,347589969,'',"""49"""
1582849235748944333,,60,,1582849235,748727083,'',"""49"""
1582849237115746651,,61,,1582849237,115462064,'',"""51"""
1582849238500956516,,62,,1582849238,500752925,'',"""52"""
1582849240512224173,,63,,1582849240,511764049,'',"""65363"""
1582849240810598600,,64,,1582849240,810236930,'',"""65363"""
1582849241160746676,,65,,1582849241,160422086,'',"""65363"""
1582849241510208254,,66,,1582849241,509876012,'',"""65363"""
1582849248541619295,,67,,1582849248,541273117,'',"""51"""
1582849250109530761,,68,,1582849250,109286069,'',"""49"""
1582849251710783321,,69,,1582849251,710531949,'',"""49"""
1582849252995317299,,70,,1582849252,995052099,'',"""49"""
1582849254496454925,,71,,1582849254,496196985,'',"""51"""
1582849255763500621,,72,,1582849255,763259887,'',"""52"""
1582849259166420648,,73,,1582849259,166210889,'',"""50"""
1582849262451739108,,74,,1582849262,451498031,'',"""51"""
1582849263920179949,,75,,1582849263,919959068,'',"""52"""
1582849266122186292,,76,,1582849266,121834993,'',"""50"""
1582849268490105740,,77,,1582849268,489851951,'',"""50"""
1582849270074161920,,78,,1582849270,73867082,'',"""52"""
1582849271953165637,,79,,1582849271,952752113,'',"""65363"""
1582849272185901893,,80,,1582849272,185460090,'',"""65363"""
1582849272485597746,,81,,1582849272,485148906,'',"""65363"""
1582849272868332457,,82,,1582849272,867889881,'',"""65363"""
1582849280299645483,,83,,1582849280,299428939,'',"""52"""
1582849281951522988,,84,,1582849281,951093912,'',"""49"""
1582849283301570497,,85,,1582849283,301341056,'',"""51"""
1582849285236547853,,86,,1582849285,236242055,'',"""51"""
1582849288556004891,,87,,1582849288,555742979,'',"""50"""
1582849289957780198,,88,,1582849289,957444906,'',"""49"""
1582849291507337165,,89,,1582849291,507102012,'',"""52"""
1582849294790251786,,90,,1582849294,789975881,'',"""50"""
1582849296195117187,,91,,1582849296,194911956,'',"""49"""
1582849298096663717,,92,,1582849298,96443891,'',"""50"""
1582849301098156213,,93,,1582849301,97820997,'',"""52"""
1582849302466622424,,94,,1582849302,466363906,'',"""51"""
