rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582849108484752326,,1,,1582849108,484539031,'',"""3"""
1582849112170927845,,2,,1582849112,170578956,'',"""1"""
1582849114122551376,,3,,1582849114,122359037,'',"""1"""
1582849115806654469,,4,,1582849115,806488037,'',"""2"""
1582849118676131504,,5,,1582849118,675848007,'',"""2"""
1582849121827901555,,6,,1582849121,827763080,'',"""4"""
1582849125199742598,,7,,1582849125,199522972,'',"""1"""
1582849128249611649,,8,,1582849128,249357938,'',"""3"""
1582849129846505962,,9,,1582849129,846291065,'',"""3"""
1582849132152953403,,10,,1582849132,152756929,'',"""4"""
1582849133970441447,,11,,1582849133,970252037,'',"""4"""
1582849137690450628,,12,,1582849137,690284013,'',"""2"""
1582849148865693107,,13,,1582849148,865454912,'',"""2"""
1582849150600865892,,14,,1582849150,600713014,'',"""4"""
1582849152535309668,,15,,1582849152,535120010,'',"""1"""
1582849154203011344,,16,,1582849154,202862977,'',"""4"""
1582849156237986595,,17,,1582849156,237787961,'',"""2"""
1582849158656371149,,18,,1582849158,656238079,'',"""3"""
1582849161125098876,,19,,1582849161,124905109,'',"""4"""
1582849162892801203,,20,,1582849162,892570018,'',"""3"""
1582849165028339159,,21,,1582849165,28140068,'',"""1"""
1582849166612271294,,22,,1582849166,612092971,'',"""3"""
1582849168981251193,,23,,1582849168,981060028,'',"""1"""
1582849170281968847,,24,,1582849170,281761884,'',"""2"""
1582849180422710242,,25,,1582849180,422555923,'',"""3"""
1582849182859010820,,26,,1582849182,858855009,'',"""2"""
1582849184092444570,,27,,1582849184,92226028,'',"""1"""
1582849187228143569,,28,,1582849187,227803945,'',"""2"""
1582849189213068018,,29,,1582849189,212836027,'',"""3"""
1582849191264445559,,30,,1582849191,264255046,'',"""4"""
1582849193199453376,,31,,1582849193,199218988,'',"""4"""
1582849195468400908,,32,,1582849195,468031883,'',"""2"""
1582849197086072162,,33,,1582849197,85819959,'',"""1"""
1582849198586302689,,34,,1582849198,586112022,'',"""3"""
1582849201032548330,,35,,1582849201,32349109,'',"""4"""
1582849203424461710,,36,,1582849203,424258947,'',"""1"""
1582849215015587838,,37,,1582849215,15367984,'',"""4"""
1582849217735018346,,38,,1582849217,734823942,'',"""2"""
1582849221004444091,,39,,1582849221,4230976,'',"""2"""
1582849223989550284,,40,,1582849223,989322900,'',"""3"""
1582849225957749620,,41,,1582849225,957551956,'',"""2"""
1582849227208512165,,42,,1582849227,208237886,'',"""1"""
1582849228710458274,,43,,1582849228,710226058,'',"""4"""
1582849232490935466,,44,,1582849232,490758895,'',"""3"""
1582849234347895946,,45,,1582849234,347676038,'',"""1"""
1582849235748964165,,46,,1582849235,748797893,'',"""1"""
1582849237115874777,,47,,1582849237,115535020,'',"""3"""
1582849238500968677,,48,,1582849238,500827074,'',"""4"""
1582849248541586772,,49,,1582849248,541366100,'',"""3"""
1582849250109535207,,50,,1582849250,109359025,'',"""1"""
1582849251710780065,,51,,1582849251,710608005,'',"""1"""
1582849252995317324,,52,,1582849252,995121955,'',"""1"""
1582849254496444560,,53,,1582849254,496269941,'',"""3"""
1582849255763504363,,54,,1582849255,763334989,'',"""4"""
1582849259166447541,,55,,1582849259,166285037,'',"""2"""
1582849262451739081,,56,,1582849262,451570034,'',"""3"""
1582849263920192613,,57,,1582849263,920032978,'',"""4"""
1582849266122329139,,58,,1582849266,121906042,'',"""2"""
1582849268490105770,,59,,1582849268,489922046,'',"""2"""
1582849270074181969,,60,,1582849270,73949098,'',"""4"""
1582849280299702367,,61,,1582849280,299501895,'',"""4"""
1582849281951408786,,62,,1582849281,951174020,'',"""1"""
1582849283301670962,,63,,1582849283,301413059,'',"""3"""
1582849285236563159,,64,,1582849285,236310958,'',"""3"""
1582849288555989177,,65,,1582849288,555811882,'',"""2"""
1582849289957729889,,66,,1582849289,957510948,'',"""1"""
1582849291507348409,,67,,1582849291,507179975,'',"""4"""
1582849294790246362,,68,,1582849294,790055990,'',"""2"""
1582849296195153103,,69,,1582849296,194983959,'',"""1"""
1582849298096736494,,70,,1582849298,96517086,'',"""2"""
1582849301098125993,,71,,1582849301,97891092,'',"""4"""
1582849302466602214,,72,,1582849302,466434001,'',"""3"""
