rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582850370373121285,,1,,1582850370,372256994,'',"""yt"""
1582850376444061170,,2,,1582850376,443960905,'',"""xy"""
1582850379764078175,,3,,1582850379,763851881,'',"""yx"""
1582850382654127566,,4,,1582850382,653829097,'',"""RIGHT"""
1582850386832403651,,5,,1582850386,832202911,'',"""DOWN"""
1582850392888034633,,6,,1582850392,887696027,'',"""UP"""
1582850396241488721,,7,,1582850396,241045951,'',"""DOWN"""
1582850402011119654,,8,,1582850402,10329961,'',"""ty"""
1582850405033806305,,9,,1582850405,33540964,'',"""RIGHT"""
1582850409551123064,,10,,1582850409,550916910,'',"""LEFT"""
1582850415607417015,,11,,1582850415,607184886,'',"""ty"""
1582850418390078331,,12,,1582850418,389962911,'',"""UP"""
1582850421960333685,,13,,1582850421,959017038,'',"""tx"""
1582850425392533288,,14,,1582850425,392427921,'',"""xt"""
1582850428219046161,,15,,1582850428,218775033,'',"""ty"""
1582850430837694441,,16,,1582850430,836311101,'',"""xy"""
1582850434093858572,,17,,1582850434,89754104,'',"""yt"""
1582850437287407998,,18,,1582850437,287306070,'',"""xy"""
1582850440989057611,,19,,1582850440,988970041,'',"""CLOCKWISE"""
1582850444875304207,,20,,1582850444,874882936,'',"""CLOCKWISE"""
1582850448415918718,,21,,1582850448,415497064,'',"""ty"""
1582850451150790936,,22,,1582850451,150552034,'',"""yx"""
1582850453942319215,,23,,1582850453,942122936,'',"""xt"""
1582850456576031616,,24,,1582850456,575846910,'',"""DOWN"""
1582850462624346322,,25,,1582850462,624160051,'',"""tx"""
1582850466444459251,,26,,1582850466,444210052,'',"""DOWN"""
1582850472494328250,,27,,1582850472,494234085,'',"""LEFT"""
1582850476636590184,,28,,1582850476,636420965,'',"""xt"""
1582850480405165371,,29,,1582850480,404943943,'',"""COUNTERCLOCKWISE"""
1582850483772253827,,30,,1582850483,771922111,'',"""yt"""
1582850486607751381,,31,,1582850486,607639074,'',"""COUNTERCLOCKWISE"""
1582850489645745730,,32,,1582850489,645534992,'',"""yx"""
1582850492563321318,,33,,1582850492,563227891,'',"""xy"""
1582850495561178580,,34,,1582850495,561090946,'',"""RIGHT"""
1582850499803446892,,35,,1582850499,802871942,'',"""xt"""
1582850502455368654,,36,,1582850502,455240011,'',"""LEFT"""
1582850508491848779,,37,,1582850508,491544961,'',"""COUNTERCLOCKWISE"""
1582850514552156812,,38,,1582850514,550693988,'',"""UP"""
1582850518116010664,,39,,1582850518,115870952,'',"""CLOCKWISE"""
1582850521549189213,,40,,1582850521,548985004,'',"""RIGHT"""
1582850525535568126,,41,,1582850525,535470962,'',"""tx"""
1582850529029273484,,42,,1582850529,25229930,'',"""yt"""
1582850531859676430,,43,,1582850531,859584093,'',"""yx"""
1582850534554908919,,44,,1582850534,554358005,'',"""COUNTERCLOCKWISE"""
1582850537443779329,,45,,1582850537,443622112,'',"""LEFT"""
1582850543481671396,,46,,1582850543,481549024,'',"""tx"""
1582850546852244854,,47,,1582850546,852015972,'',"""CLOCKWISE"""
1582850550473367692,,48,,1582850550,473174095,'',"""UP"""
