rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582850372045062881,,1,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372050019148,,2,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372053906889,,3,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372055833364,,4,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372057948379,,5,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372061948060,,6,,1582850361,672905921,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582850372063873774,,7,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372065806052,,8,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372071863595,,9,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372073936260,,10,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372075841279,,11,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372079839809,,12,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372081865462,,13,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372087992182,,14,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372089883262,,15,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372091815286,,16,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372095824343,,17,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372097855379,,18,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372099850964,,19,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372101897901,,20,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372105929161,,21,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372107931833,,22,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372109822900,,23,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372115825771,,24,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372117855363,,25,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372121881015,,26,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372123884627,,27,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372127917717,,28,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372131873548,,29,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372133836304,,30,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372135849512,,31,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372141964185,,32,,1582850361,672905921,"""Soft Puff""",[0.0],"[0, 1, 0, 0]"
1582850372143848861,,33,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372147836858,,34,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372149942268,,35,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372153897562,,36,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372157989958,,37,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372159836474,,38,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372165812996,,39,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372167802763,,40,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372173960852,,41,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372176017498,,42,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372179972816,,43,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372184011139,,44,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372187930433,,45,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372193964948,,46,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372199983796,,47,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372202044844,,48,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372205920251,,49,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372214075238,,50,,1582850361,672905921,"""Soft-Hard Puff Deadband""",[0.0],"[0, 0, 0, 0]"
1582850372221913245,,51,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372225934454,,52,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372229966547,,53,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372235985224,,54,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372243953380,,55,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372251847946,,56,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372255872772,,57,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372263916493,,58,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372271851448,,59,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372279925675,,60,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372289960763,,61,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372297867361,,62,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
1582850372316026587,,63,,1582850361,672905921,"""Hard Puff""",[0.0],"[1, 0, 0, 0]"
