rosbagTimestamp,data
1582850370374859293,"""37.pkl"""
1582850376445259915,"""27.pkl"""
1582850379766503109,"""35.pkl"""
1582850382654538453,"""8.pkl"""
1582850386833764068,"""4.pkl"""
1582850392888169555,"""3.pkl"""
1582850396241889272,"""6.pkl"""
1582850402011135374,"""44.pkl"""
1582850405035157967,"""10.pkl"""
1582850409552445908,"""12.pkl"""
1582850415609606358,"""47.pkl"""
1582850418390335597,"""0.pkl"""
1582850421960325574,"""43.pkl"""
1582850425393740694,"""29.pkl"""
1582850428219260794,"""45.pkl"""
1582850430836451674,"""24.pkl"""
1582850434090332347,"""39.pkl"""
1582850437288639322,"""26.pkl"""
1582850440990011801,"""21.pkl"""
1582850444875376260,"""22.pkl"""
1582850448415899875,"""46.pkl"""
1582850451150803654,"""34.pkl"""
1582850453942466859,"""30.pkl"""
1582850456576104426,"""5.pkl"""
1582850462626595388,"""42.pkl"""
1582850466446699263,"""7.pkl"""
1582850472494378279,"""14.pkl"""
1582850476636623815,"""28.pkl"""
1582850480405185245,"""18.pkl"""
1582850483772270168,"""38.pkl"""
1582850486607819530,"""16.pkl"""
1582850489645757225,"""33.pkl"""
1582850492564591122,"""25.pkl"""
1582850495561337646,"""11.pkl"""
1582850499803432544,"""31.pkl"""
1582850502455638883,"""13.pkl"""
1582850508492124997,"""17.pkl"""
1582850514550873125,"""1.pkl"""
1582850518117444805,"""23.pkl"""
1582850521549181859,"""9.pkl"""
1582850525535610382,"""40.pkl"""
1582850529025643073,"""36.pkl"""
1582850531859753804,"""32.pkl"""
1582850534555100872,"""19.pkl"""
1582850537443770075,"""15.pkl"""
1582850543481731130,"""41.pkl"""
1582850546852138600,"""20.pkl"""
1582850550473501993,"""2.pkl"""
