rosbagTimestamp,data
1582850370372721400,"""start"""
1582850374925148205,"""end"""
1582850376443989724,"""start"""
1582850378245314946,"""end"""
1582850379763905586,"""start"""
1582850381129831708,"""end"""
1582850382653909041,"""start"""
1582850385800393196,"""end"""
1582850386832239530,"""start"""
1582850391854387000,"""end"""
1582850392888061188,"""start"""
1582850395206832446,"""end"""
1582850396241160547,"""start"""
1582850400978100673,"""end"""
1582850402010574831,"""start"""
1582850403513813172,"""end"""
1582850405033573598,"""start"""
1582850408517771847,"""end"""
1582850409550959231,"""start"""
1582850414571982018,"""end"""
1582850415607231266,"""start"""
1582850416873843349,"""end"""
1582850418390009045,"""start"""
1582850420926986157,"""end"""
1582850421959048945,"""start"""
1582850423879065298,"""end"""
1582850425392451895,"""start"""
1582850426697835090,"""end"""
1582850428218843977,"""start"""
1582850429316687222,"""end"""
1582850430836346274,"""start"""
1582850432569042694,"""end"""
1582850434089855805,"""start"""
1582850435771717232,"""end"""
1582850437287337841,"""start"""
1582850439474341891,"""end"""
1582850440988992950,"""start"""
1582850443843766421,"""end"""
1582850444875111057,"""start"""
1582850447380215077,"""end"""
1582850448415592681,"""start"""
1582850449632224441,"""end"""
1582850451150608660,"""start"""
1582850452417714913,"""end"""
1582850453942171109,"""start"""
1582850455052972854,"""end"""
1582850456575897311,"""start"""
1582850461591147896,"""end"""
1582850462624208671,"""start"""
1582850464927099148,"""end"""
1582850466444282760,"""start"""
1582850471466008757,"""end"""
1582850472494256442,"""start"""
1582850475602348757,"""end"""
1582850476636530592,"""start"""
1582850478887950789,"""end"""
1582850480404968654,"""start"""
1582850482740892875,"""end"""
1582850483772113493,"""start"""
1582850485092557895,"""end"""
1582850486607662685,"""start"""
1582850488611757197,"""end"""
1582850489645582869,"""start"""
1582850491047103382,"""end"""
1582850492563254852,"""start"""
1582850494049480200,"""end"""
1582850495561118059,"""start"""
1582850498770385169,"""end"""
1582850499802943325,"""start"""
1582850500937935073,"""end"""
1582850502455262426,"""start"""
1582850507459964392,"""end"""
1582850508491836530,"""start"""
1582850513514513220,"""end"""
1582850514550722641,"""start"""
1582850517083390537,"""end"""
1582850518116098942,"""start"""
1582850520519354318,"""end"""
1582850521549012666,"""start"""
1582850524506132640,"""end"""
1582850525535500494,"""start"""
1582850527508457656,"""end"""
1582850529025351004,"""start"""
1582850530343903410,"""end"""
1582850531859607733,"""start"""
1582850533029253614,"""end"""
1582850534554480308,"""start"""
1582850536415099077,"""end"""
1582850537443648842,"""start"""
1582850542453186777,"""end"""
1582850543481573628,"""start"""
1582850545338757417,"""end"""
1582850546852044099,"""start"""
1582850549441324612,"""end"""
1582850550473354861,"""start"""
1582850552911285821,"""end"""
