rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582849708055392264,,1,,1582849708,54942875,'',"[0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708058320755,,2,,1582849708,57980869,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708060207227,,3,,1582849708,59952959,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708064262468,,4,,1582849708,63949369,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708066142511,,5,,1582849708,65957608,'',"[0.023343447595834732, 0.023343447595834732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708068072005,,6,,1582849708,67912970,'',"[0.04505977779626846, 0.04505977779626846]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708071937004,,7,,1582849708,71877993,'',"[0.06674397736787796, 0.06674397736787796]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708073949659,,8,,1582849708,73874994,'',"[0.07760214805603027, 0.07760214805603027]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708075975724,,9,,1582849708,75887102,'',"[0.0993184745311737, 0.0993184745311737]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708079970853,,10,,1582849708,79880865,'',"[0.12103480100631714, 0.12103480100631714]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708081991672,,11,,1582849708,81895205,'',"[0.14271900057792664, 0.14271900057792664]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708083986374,,12,,1582849708,83880964,'',"[0.16443534195423126, 0.16443534195423126]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708085970630,,13,,1582849708,85894857,'',"[0.18611954152584076, 0.18611954152584076]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708089998105,,14,,1582849708,89883683,'',"[0.19697770476341248, 0.19697770476341248]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708092004803,,15,,1582849708,91898802,'',"[0.2186940312385559, 0.2186940312385559]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708094015350,,16,,1582849708,93894558,'',"[0.2403782308101654, 0.2403782308101654]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708098006247,,17,,1582849708,97891843,'',"[0.2512364089488983, 0.2512364089488983]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708100020406,,18,,1582849708,99898839,'',"[0.27295273542404175, 0.27295273542404175]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708102026418,,19,,1582849708,101894244,'',"[0.2946690618991852, 0.2946690618991852]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708106044037,,20,,1582849708,105893997,'',"[0.30549511313438416, 0.30549511313438416]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708108033752,,21,,1582849708,107899527,'',"[0.3272114396095276, 0.3272114396095276]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708110045747,,22,,1582849708,109897061,'',"[0.348927766084671, 0.348927766084671]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708112052000,,23,,1582849708,111912473,'',"[0.3597537875175476, 0.3597537875175476]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708116042124,,24,,1582849708,115901572,'',"[0.38147011399269104, 0.38147011399269104]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708117989455,,25,,1582849708,117889705,'',"[0.39232829213142395, 0.39232829213142395]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708120008579,,26,,1582849708,119890464,'',"[0.4140446186065674, 0.4140446186065674]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708124037433,,27,,1582849708,123916906,'',"[0.4357288181781769, 0.4357288181781769]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708125985409,,28,,1582849708,125900387,'',"[0.4465869963169098, 0.4465869963169098]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708128002198,,29,,1582849708,127888492,'',"[0.4683033227920532, 0.4683033227920532]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708132006778,,30,,1582849708,131887160,'',"[0.4899875223636627, 0.4899875223636627]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708134025000,,31,,1582849708,133897620,'',"[0.5117038488388062, 0.5117038488388062]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708136017051,,32,,1582849708,135890318,'',"[0.533388078212738, 0.533388078212738]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708138022614,,33,,1582849708,137897087,'',"[0.5551043748855591, 0.5551043748855591]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708142017701,,34,,1582849708,141892223,'',"[0.5768207311630249, 0.5768207311630249]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708144039543,,35,,1582849708,143913142,'',"[0.598504900932312, 0.598504900932312]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708146023893,,36,,1582849708,145898083,'',"[0.6093630790710449, 0.6093630790710449]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708150017273,,37,,1582849708,149891126,'',"[0.6419375538825989, 0.6419375538825989]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708152032615,,38,,1582849708,151898623,'',"[0.6527636051177979, 0.6527636051177979]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708154021006,,39,,1582849708,153894442,'',"[0.6744799613952637, 0.6744799613952637]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708158059637,,40,,1582849708,157904900,'',"[0.6961962580680847, 0.6961962580680847]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708159999515,,41,,1582849708,159903851,'',"[0.7178804874420166, 0.7178804874420166]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708161974311,,42,,1582849708,161889405,'',"[0.7287386655807495, 0.7287386655807495]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708165982796,,43,,1582849708,165887630,'',"[0.7504549622535706, 0.7504549622535706]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708167976265,,44,,1582849708,167886954,'',"[0.7721391916275024, 0.7721391916275024]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708170007570,,45,,1582849708,169894352,'',"[0.7829973101615906, 0.7829973101615906]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708171985914,,46,,1582849708,171883618,'',"[0.8047136664390564, 0.8047136664390564]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708176040850,,47,,1582849708,175924683,'',"[0.8155718445777893, 0.8155718445777893]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708178023095,,48,,1582849708,177913193,'',"[0.8372560143470764, 0.8372560143470764]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708180009450,,49,,1582849708,179888856,'',"[0.8481141924858093, 0.8481141924858093]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708184060114,,50,,1582849708,183937877,'',"[0.8698305487632751, 0.8698305487632751]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582849708185999351,,51,,1582849708,185887951,'',"[0.8806886672973633, 0.8806886672973633]","[0, 1, 0, 0, 0, 0, 0, 0]"
