rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,num_switches
1582849712044183703,,1,,1582849712,43911933,"""user""",1,1
1582849722166344818,,2,,1582849722,166125059,"""user""",0,2
1582849732430951887,,3,,1582849732,430567979,"""user""",2,3
1582849737056228683,,4,,1582849737,56042909,"""user""",0,4
1582849742332962563,,5,,1582849742,332465887,"""user""",2,5
1582849747494614581,,6,,1582849747,494369983,"""user""",1,6
1582849752831840023,,7,,1582849752,831681966,"""user""",2,7
1582849767160358810,,8,,1582849767,159982919,"""user""",0,8
1582849782717323715,,9,,1582849782,717175006,"""user""",2,9
1582849788679345545,,10,,1582849788,677886009,"""user""",0,10
1582849807724816158,,11,,1582849807,724585056,"""user""",1,11
1582849813037605726,,12,,1582849813,37008047,"""user""",0,12
1582849828320077670,,13,,1582849828,319787025,"""user""",1,13
1582849838942835831,,14,,1582849838,942337036,"""user""",0,14
1582849848386555100,,15,,1582849848,385745048,"""user""",2,15
1582849862733735239,,16,,1582849862,733385086,"""user""",0,16
1582849873111432107,,17,,1582849873,111192941,"""user""",1,17
1582849877670107748,,18,,1582849877,669960021,"""user""",0,18
1582849894100803488,,19,,1582849894,100446939,"""user""",1,19
1582849902744305431,,20,,1582849902,744149923,"""user""",0,20
1582849907785208299,,21,,1582849907,784974098,"""user""",1,21
1582849918923967375,,22,,1582849918,923635959,"""user""",0,22
1582849922930597496,,23,,1582849922,930434942,"""user""",2,23
1582849927936004748,,24,,1582849927,935626029,"""user""",1,24
1582849938536338791,,25,,1582849938,536191940,"""user""",0,25
1582849943517144701,,26,,1582849943,516954898,"""user""",1,26
1582849948793033387,,27,,1582849948,792412996,"""user""",2,27
1582849953869480949,,28,,1582849953,869102001,"""user""",1,28
1582849962986949481,,29,,1582849962,986591100,"""user""",0,29
1582849967828511385,,30,,1582849967,828330039,"""user""",2,30
1582849973014526104,,31,,1582849973,14240980,"""user""",1,31
1582849978216667304,,32,,1582849978,216011047,"""user""",2,32
1582849993341234358,,33,,1582849993,340989112,"""user""",1,33
1582849998180764776,,34,,1582849998,180469036,"""user""",2,34
1582850003411136179,,35,,1582850003,410728931,"""user""",1,35
