rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582762465464586556,,1,,1582762465,464279477,'',"[0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465469649812,,2,,1582762465,469513956,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465473519460,,3,,1582762465,473374198,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465475526175,,4,,1582762465,475392993,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465477476521,,5,,1582762465,477365406,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465481479185,,6,,1582762465,481339356,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465483473122,,7,,1582762465,483318609,'',"[0.012485282495617867, 0.012485282495617867]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465485508267,,8,,1582762465,485344882,'',"[0.023343447595834732, 0.023343447595834732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465487391093,,9,,1582762465,487307996,'',"[0.03420161083340645, 0.03420161083340645]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465491405983,,10,,1582762465,491303283,'',"[0.04505977779626846, 0.04505977779626846]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465493513633,,11,,1582762465,493358878,'',"[0.05591794103384018, 0.05591794103384018]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465495433625,,12,,1582762465,495335975,'',"[0.06674397736787796, 0.06674397736787796]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465499501765,,13,,1582762465,499365422,'',"[0.08846031129360199, 0.08846031129360199]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465501538518,,14,,1582762465,501417867,'',"[0.0993184745311737, 0.0993184745311737]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465503584159,,15,,1582762465,503410438,'',"[0.11017663776874542, 0.11017663776874542]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465507400935,,16,,1582762465,507325370,'',"[0.13186083734035492, 0.13186083734035492]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465509428201,,17,,1582762465,509306261,'',"[0.15357716381549835, 0.15357716381549835]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465511465230,,18,,1582762465,511347165,'',"[0.16443534195423126, 0.16443534195423126]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465513440630,,19,,1582762465,513321958,'',"[0.18611954152584076, 0.18611954152584076]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465517477750,,20,,1582762465,517359666,'',"[0.19697770476341248, 0.19697770476341248]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465519439070,,21,,1582762465,519363058,'',"[0.22955219447612762, 0.22955219447612762]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465521445315,,22,,1582762465,521308252,'',"[0.2403782308101654, 0.2403782308101654]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465525453500,,23,,1582762465,525300378,'',"[0.26209455728530884, 0.26209455728530884]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465527485481,,24,,1582762465,527372350,'',"[0.28381088376045227, 0.28381088376045227]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465529399609,,25,,1582762465,529311620,'',"[0.30549511313438416, 0.30549511313438416]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465533571961,,26,,1582762465,533411715,'',"[0.3272114396095276, 0.3272114396095276]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465535514737,,27,,1582762465,535379796,'',"[0.3597537875175476, 0.3597537875175476]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465537397937,,28,,1582762465,537307094,'',"[0.38147011399269104, 0.38147011399269104]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465539452752,,29,,1582762465,539366571,'',"[0.4140446186065674, 0.4140446186065674]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465543494839,,30,,1582762465,543363770,'',"[0.4465869963169098, 0.4465869963169098]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465545452984,,31,,1582762465,545331909,'',"[0.4791293442249298, 0.4791293442249298]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465547391410,,32,,1582762465,547310954,'',"[0.5117038488388062, 0.5117038488388062]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465551435804,,33,,1582762465,551368879,'',"[0.533388078212738, 0.533388078212738]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465553423135,,34,,1582762465,553332178,'',"[0.5768207311630249, 0.5768207311630249]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582762465555467007,,35,,1582762465,555369989,'',"[0.6202212572097778, 0.6202212572097778]","[0, 1, 0, 0, 0, 0, 0, 0]"
