rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582762465465861994,,1,,1582762465,464503049,"""Zero Band""",[0.0],"[0, 0, 0, 0]"
1582762465470766784,,2,,1582762465,469732046,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762465474623583,,3,,1582762465,473542928,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762465476645391,,4,,1582762465,475543975,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762465478507118,,5,,1582762465,477533102,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762465482238917,,6,,1582762465,481435060,"""Zero Band""",[0.0016592431347817183],"[0, 0, 0, 0]"
1582762465530953902,,7,,1582762465,529992103,"""Soft-Hard Sip Deadband""",[0.30549511313438416],"[0, 0, 0, 0]"
1582762465534390551,,8,,1582762465,533545017,"""Soft-Hard Sip Deadband""",[0.3272114396095276],"[0, 0, 0, 0]"
1582762465536328476,,9,,1582762465,535518884,"""Soft-Hard Sip Deadband""",[0.3597537875175476],"[0, 0, 0, 0]"
1582762465538106964,,10,,1582762465,537408113,"""Soft-Hard Sip Deadband""",[0.38147011399269104],"[0, 0, 0, 0]"
1582762465540207701,,11,,1582762465,539499998,"""Soft-Hard Sip Deadband""",[0.4140446186065674],"[0, 0, 0, 0]"
1582762465544300082,,12,,1582762465,543502092,"""Soft-Hard Sip Deadband""",[0.4465869963169098],"[0, 0, 0, 0]"
1582762465546252927,,13,,1582762465,545466899,"""Soft-Hard Sip Deadband""",[0.4791293442249298],"[0, 0, 0, 0]"
1582762465968512987,,14,,1582762465,967636108,"""Soft-Hard Sip Deadband""",[0.4791293442249298],"[0, 0, 0, 0]"
1582762465970398437,,15,,1582762465,969538927,"""Soft-Hard Sip Deadband""",[0.4031864404678345],"[0, 0, 0, 0]"
1582762465972343413,,16,,1582762465,971477031,"""Soft-Hard Sip Deadband""",[0.3597537875175476],"[0, 0, 0, 0]"
1582762465974226349,,17,,1582762465,973447084,"""Soft-Hard Sip Deadband""",[0.30549511313438416],"[0, 0, 0, 0]"
1582762466000553417,,18,,1582762465,999814033,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466004157054,,19,,1582762466,3407955,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466006249430,,20,,1582762466,5454063,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466008101753,,21,,1582762466,7399082,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466021277709,,22,,1582762466,20411968,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466021322815,,23,,1582762466,20411968,"""input stopped""",[-0.0],"[0, 0, 0, 0]"
1582762466477526401,,24,,1582762466,476512908,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466482354633,,25,,1582762466,481534957,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466484615146,,26,,1582762466,483578920,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762466523050660,,27,,1582762466,522131919,"""Soft-Hard Puff Deadband""",[-0.3054629862308502],"[0, 0, 0, 0]"
1582762466526297890,,28,,1582762466,525496959,"""Soft-Hard Puff Deadband""",[-0.32717931270599365],"[0, 0, 0, 0]"
1582762466530375694,,29,,1582762466,529444932,"""Soft-Hard Puff Deadband""",[-0.3705798387527466],"[0, 0, 0, 0]"
1582762466532302107,,30,,1582762466,531447887,"""Soft-Hard Puff Deadband""",[-0.39229616522789],"[0, 0, 0, 0]"
1582762466536265387,,31,,1582762466,535449028,"""Soft-Hard Puff Deadband""",[-0.41401249170303345],"[0, 0, 0, 0]"
1582762466538350584,,32,,1582762466,537461042,"""Soft-Hard Puff Deadband""",[-0.43569669127464294],"[0, 0, 0, 0]"
1582762466540425076,,33,,1582762466,539544105,"""Soft-Hard Puff Deadband""",[-0.44655486941337585],"[0, 0, 0, 0]"
1582762466544233468,,34,,1582762466,543412923,"""Soft-Hard Puff Deadband""",[-0.4682711958885193],"[0, 0, 0, 0]"
1582762466546571305,,35,,1582762466,545469045,"""Soft-Hard Puff Deadband""",[-0.4899553954601288],"[0, 0, 0, 0]"
1582762466998866943,,36,,1582762466,996109008,"""Soft-Hard Puff Deadband""",[-0.4899553954601288],"[0, 0, 0, 0]"
1582762467002662538,,37,,1582762466,998725891,"""Soft-Hard Puff Deadband""",[-0.4682711958885193],"[0, 0, 0, 0]"
1582762467004795506,,38,,1582762467,1673936,"""Soft-Hard Puff Deadband""",[-0.43569669127464294],"[0, 0, 0, 0]"
1582762467007587400,,39,,1582762467,4652976,"""Soft-Hard Puff Deadband""",[-0.39229616522789],"[0, 0, 0, 0]"
1582762467010637590,,40,,1582762467,7481098,"""Soft-Hard Puff Deadband""",[-0.3488956391811371],"[0, 0, 0, 0]"
1582762467013081068,,41,,1582762467,10209083,"""Soft-Hard Puff Deadband""",[-0.31632113456726074],"[0, 0, 0, 0]"
1582762467081854185,,42,,1582762467,79010009,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
1582762467084831563,,43,,1582762467,81885099,"""Zero Band""",[-0.0],"[0, 0, 0, 0]"
