rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582756358417309085,,1,,1582756358,417052984,'',"""mode_switch_right_3"""
1582756360601341259,,2,,1582756360,601175069,'',''
1582756360617903175,,3,,1582756360,617789030,'',"""clockwise"""
1582756361935381662,,4,,1582756361,935152053,'',''
1582756361952033489,,5,,1582756361,951827049,'',"""down"""
1582756363503210227,,6,,1582756363,502815008,'',''
1582756363519558142,,7,,1582756363,519328117,'',"""mode_switch_left_1"""
1582756364920096227,,8,,1582756364,919835090,'',''
1582756364936763174,,9,,1582756364,936508893,'',"""counterclockwise"""
1582756366704112724,,10,,1582756366,703835010,'',''
1582756366720910723,,11,,1582756366,720623016,'',"""mode_switch_left_1"""
1582756368438266898,,12,,1582756368,438021898,'',''
1582756368455042784,,13,,1582756368,454790115,'',"""mode_switch_left_2"""
1582756369622296974,,14,,1582756369,621962070,'',''
1582756369638865193,,15,,1582756369,638659954,'',"""mode_switch_left_2"""
1582756370789191267,,16,,1582756370,789011955,'',''
1582756370805971681,,17,,1582756370,805775880,'',"""up"""
1582756372458089443,,18,,1582756372,457902908,'',''
1582756372474143302,,19,,1582756372,473813056,'',"""counterclockwise"""
1582756374040802159,,20,,1582756374,40528059,'',''
1582756374057501814,,21,,1582756374,57229042,'',"""mode_switch_right_1"""
1582756375441451263,,22,,1582756375,441219091,'',''
1582756375457977087,,23,,1582756375,457834005,'',"""mode_switch_right_3"""
1582756376909162502,,24,,1582756376,908646106,'',''
1582756376925399751,,25,,1582756376,925185918,'',"""down"""
1582756378576063428,,26,,1582756378,575860023,'',''
1582756378592630203,,27,,1582756378,592489004,'',"""up"""
1582756379743544448,,28,,1582756379,743233919,'',''
1582756379760182152,,29,,1582756379,759903907,'',"""left"""
1582756382261267859,,30,,1582756382,261019945,'',''
1582756382277943417,,31,,1582756382,277697086,'',"""mode_switch_right_2"""
1582756384112068186,,32,,1582756384,111592054,'',''
