rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582756360088853728,,1,,1582756360,88645935,'',"""1"""
1582756361422806796,,2,,1582756361,422456026,'',"""3"""
1582756362990115518,,3,,1582756362,989820003,'',"""4"""
1582756364407312750,,4,,1582756364,407131910,'',"""2"""
1582756366191367632,,5,,1582756366,191102981,'',"""4"""
1582756367925887020,,6,,1582756367,925698041,'',"""2"""
1582756369109437027,,7,,1582756369,109276056,'',"""2"""
1582756370276617079,,8,,1582756370,276437997,'',"""2"""
1582756371944152681,,9,,1582756371,943908929,'',"""3"""
1582756373533165089,,10,,1582756373,532901048,'',"""4"""
1582756374929036377,,11,,1582756374,928786039,'',"""1"""
1582756376396452922,,12,,1582756376,396219015,'',"""1"""
1582756378063246167,,13,,1582756378,63087940,'',"""4"""
1582756379230860065,,14,,1582756379,230669975,'',"""3"""
1582756381748311059,,15,,1582756381,748125076,'',"""4"""
1582756383599799249,,16,,1582756383,599414110,'',"""1"""
1582756385266760047,,17,,1582756385,266576051,'',"""2"""
1582756386784170748,,18,,1582756386,783921957,'',"""1"""
1582756388084995014,,19,,1582756388,84570884,'',"""3"""
1582756389885400353,,20,,1582756389,885198116,'',"""2"""
1582756391669611582,,21,,1582756391,669271945,'',"""3"""
1582756393537123005,,22,,1582756393,536829948,'',"""1"""
1582756394770828660,,23,,1582756394,770646095,'',"""3"""
1582756396187987701,,24,,1582756396,187823057,'',"""4"""
1582756407076518273,,25,,1582756407,76242923,'',"""3"""
1582756408760455376,,26,,1582756408,760236024,'',"""2"""
1582756410595011910,,27,,1582756410,594785928,'',"""3"""
1582756412195187390,,28,,1582756412,194926023,'',"""4"""
1582756414929809558,,29,,1582756414,929599046,'',"""1"""
1582756416867916575,,30,,1582756416,864703893,'',"""2"""
1582756418298076582,,31,,1582756418,297894954,'',"""3"""
1582756420048869679,,32,,1582756420,48624038,'',"""3"""
1582756421483322464,,33,,1582756421,483078956,'',"""4"""
1582756422883471083,,34,,1582756422,883187055,'',"""2"""
1582756424684181702,,35,,1582756424,683995962,'',"""1"""
1582756425918387753,,36,,1582756425,918239116,'',"""2"""
1582756427602223489,,37,,1582756427,602027893,'',"""3"""
1582756430470188870,,38,,1582756430,469964027,'',"""1"""
1582756431720716409,,39,,1582756431,720549106,'',"""3"""
1582756433071143946,,40,,1582756433,70945978,'',"""2"""
1582756435839423249,,41,,1582756435,839221954,'',"""4"""
1582756438707287841,,42,,1582756438,707035064,'',"""1"""
1582756439958250213,,43,,1582756439,958069086,'',"""3"""
1582756441991850443,,44,,1582756441,991625070,'',"""1"""
1582756444293607839,,45,,1582756444,293241977,'',"""4"""
1582756447344386703,,46,,1582756447,344183921,'',"""4"""
1582756449362068585,,47,,1582756449,361906051,'',"""1"""
1582756452648744857,,48,,1582756452,648471117,'',"""2"""
1582756462801144884,,49,,1582756462,800961017,'',"""2"""
1582756464185232488,,50,,1582756464,184927940,'',"""3"""
1582756465470763786,,51,,1582756465,470587968,'',"""4"""
1582756466736216047,,52,,1582756466,736021995,'',"""2"""
1582756468336865482,,53,,1582756468,336668968,'',"""4"""
1582756469855699099,,54,,1582756469,855458021,'',"""2"""
1582756472905969938,,55,,1582756472,905812978,'',"""4"""
1582756474422917084,,56,,1582756474,422710895,'',"""3"""
1582756476090354689,,57,,1582756476,90133905,'',"""2"""
1582756477657853244,,58,,1582756477,657500982,'',"""1"""
1582756478879238553,,59,,1582756478,879065036,'',"""1"""
1582756480041952561,,60,,1582756480,41681051,'',"""2"""
1582756481509850170,,61,,1582756481,509625911,'',"""3"""
1582756482843219384,,62,,1582756482,843003988,'',"""3"""
1582756483977721461,,63,,1582756483,977384090,'',"""4"""
1582756485127797519,,64,,1582756485,127541065,'',"""3"""
1582756486545011365,,65,,1582756486,544751882,'',"""2"""
1582756488062448462,,66,,1582756488,62110900,'',"""1"""
1582756489446429216,,67,,1582756489,446199893,'',"""1"""
1582756490947081918,,68,,1582756490,946948051,'',"""1"""
1582756493798141933,,69,,1582756493,797967910,'',"""4"""
1582756494915532122,,70,,1582756494,915339946,'',"""3"""
1582756497016522462,,71,,1582756497,16319990,'',"""2"""
1582756498533581851,,72,,1582756498,533421039,'',"""4"""
