rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
1582751068761392066,,1,,1582751068,760644912,'',"""yt"""
1582751074858150278,,2,,1582751074,851210117,'',"""xt"""
1582751078199281842,,3,,1582751078,198647975,'',"""yt"""
1582751081515895497,,4,,1582751081,515225887,'',"""LEFT"""
1582751086859852629,,5,,1582751086,859730005,'',"""xy"""
1582751090044742986,,6,,1582751090,44265031,'',"""LEFT"""
1582751094059290255,,7,,1582751094,58756113,'',"""COUNTERCLOCKWISE"""
1582751097963728527,,8,,1582751097,963161945,'',"""yx"""
1582751101672967946,,9,,1582751101,672158956,'',"""LEFT"""
1582751105557987097,,10,,1582751105,557508945,'',"""RIGHT"""
1582751109794061059,,11,,1582751109,793205976,'',"""RIGHT"""
1582751113637639616,,12,,1582751113,637177944,'',"""DOWN"""
1582751116680196697,,13,,1582751116,679568052,'',"""yx"""
1582751119730373110,,14,,1582751119,729796886,'',"""DOWN"""
1582751123284117972,,15,,1582751123,283474922,'',"""tx"""
1582751126478389740,,16,,1582751126,477158069,'',"""RIGHT"""
1582751131988193279,,17,,1582751131,987576007,'',"""yt"""
1582751135104559883,,18,,1582751135,104162931,'',"""xt"""
1582751138907639243,,19,,1582751138,906455993,'',"""xy"""
1582751142236092427,,20,,1582751142,235074996,'',"""UP"""
1582751146035547900,,21,,1582751146,34895896,'',"""DOWN"""
1582751148976441465,,22,,1582751148,975795030,'',"""yx"""
1582751152129294302,,23,,1582751152,128740072,'',"""tx"""
1582751155930809080,,24,,1582751155,930293083,'',"""CLOCKWISE"""
1582751159348249090,,25,,1582751159,347727060,'',"""tx"""
1582751162879286137,,26,,1582751162,879164934,'',"""yx"""
1582751166929870238,,27,,1582751166,927114963,'',"""ty"""
1582751169719077970,,28,,1582751169,718517065,'',"""yt"""
1582751172729457210,,29,,1582751172,727845907,'',"""CLOCKWISE"""
1582751177051215547,,30,,1582751177,49031019,'',"""tx"""
1582751179924234722,,31,,1582751179,923814058,'',"""COUNTERCLOCKWISE"""
1582751183443577078,,32,,1582751183,442215919,'',"""ty"""
1582751187049635393,,33,,1582751187,44070005,'',"""xt"""
1582751190142813584,,34,,1582751190,142102956,'',"""ty"""
1582751192798898174,,35,,1582751192,797997951,'',"""xt"""
1582751196480749322,,36,,1582751196,479993104,'',"""xy"""
1582751199967282992,,37,,1582751199,966587066,'',"""CLOCKWISE"""
1582751203350949249,,38,,1582751203,350364923,'',"""COUNTERCLOCKWISE"""
1582751207040735881,,39,,1582751207,40644884,'',"""xy"""
1582751210504433169,,40,,1582751210,503290891,'',"""RIGHT"""
1582751214722399533,,41,,1582751214,721888065,'',"""UP"""
1582751218211407271,,42,,1582751218,210448026,'',"""ty"""
1582751221082739942,,43,,1582751221,82608938,'',"""COUNTERCLOCKWISE"""
1582751224469928602,,44,,1582751224,469419002,'',"""UP"""
1582751230395970501,,45,,1582751230,395242929,'',"""DOWN"""
1582751233532264445,,46,,1582751233,530565023,'',"""CLOCKWISE"""
1582751237631193558,,47,,1582751237,630568027,'',"""UP"""
1582751241893417036,,48,,1582751241,891915082,'',"""LEFT"""
