rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1582751060761389982,,1,,1582751060,761240445,'',"[0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060768492373,,2,,1582751060,768379292,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060774485681,,3,,1582751060,774352152,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060782497068,,4,,1582751060,782342824,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060784416241,,5,,1582751060,784277088,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060792554685,,6,,1582751060,792392275,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060796547155,,7,,1582751060,796362627,'',"[0.012485282495617867, 0.012485282495617867]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060808547881,,8,,1582751060,808382714,'',"[0.023343447595834732, 0.023343447595834732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060812560434,,9,,1582751060,812381047,'',"[0.03420161083340645, 0.03420161083340645]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060822593215,,10,,1582751060,822393509,'',"[0.04505977779626846, 0.04505977779626846]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060834565438,,11,,1582751060,834368074,'',"[0.05591794103384018, 0.05591794103384018]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060862432148,,12,,1582751060,862295141,'',"[0.04505977779626846, 0.04505977779626846]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060870568896,,13,,1582751060,870409472,'',"[0.03420161083340645, 0.03420161083340645]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060880518159,,14,,1582751060,880373051,'',"[0.023343447595834732, 0.023343447595834732]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060882453778,,15,,1582751060,882304768,'',"[0.012485282495617867, 0.012485282495617867]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060890488199,,16,,1582751060,890353693,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060898463281,,17,,1582751060,898322858,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060904513080,,18,,1582751060,904387531,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060912470101,,19,,1582751060,912360590,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060916381191,,20,,1582751060,916281776,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060924601170,,21,,1582751060,924440408,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751060957427252,,22,,1582751060,957304188,'',"[-0.0, -0.0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1582751064215424471,,23,,1582751064,215236153,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064232455118,,24,,1582751064,232324700,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064252533243,,25,,1582751064,252329956,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064278535570,,26,,1582751064,278360938,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064318485739,,27,,1582751064,318330536,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064350466969,,28,,1582751064,350328269,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064352400626,,29,,1582751064,352295709,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064360561427,,30,,1582751064,360414304,'',"[0.0016592431347817183, 0.0016592431347817183]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064362409286,,31,,1582751064,362320879,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064420526620,,32,,1582751064,420352096,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064458552844,,33,,1582751064,458394205,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064460549161,,34,,1582751064,460410071,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064464455610,,35,,1582751064,464304001,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
1582751064466517123,,36,,1582751064,466364376,'',"[-0.0, -0.0]","[0, 1, 0, 0, 0, 0, 0, 0]"
