rosbagTimestamp,data
1582751068770830973,"""36.pkl"""
1582751074851771528,"""30.pkl"""
1582751078200286261,"""39.pkl"""
1582751081515952203,"""12.pkl"""
1582751086860207079,"""24.pkl"""
1582751090045054604,"""15.pkl"""
1582751094059836231,"""16.pkl"""
1582751097964125151,"""35.pkl"""
1582751101673402284,"""14.pkl"""
1582751105558481486,"""8.pkl"""
1582751109794048799,"""10.pkl"""
1582751113638203312,"""4.pkl"""
1582751116684895609,"""34.pkl"""
1582751119730625928,"""7.pkl"""
1582751123288434401,"""41.pkl"""
1582751126478364668,"""9.pkl"""
1582751131989090930,"""38.pkl"""
1582751135108563107,"""29.pkl"""
1582751138907246533,"""26.pkl"""
1582751142236255425,"""3.pkl"""
1582751146035778772,"""6.pkl"""
1582751148976526359,"""32.pkl"""
1582751152130132400,"""42.pkl"""
1582751155931045386,"""21.pkl"""
1582751159348611038,"""43.pkl"""
1582751162879384174,"""33.pkl"""
1582751166929892692,"""44.pkl"""
1582751169719361421,"""37.pkl"""
1582751172729795900,"""20.pkl"""
1582751177049361352,"""40.pkl"""
1582751179925997657,"""17.pkl"""
1582751183443541851,"""45.pkl"""
1582751187045135002,"""31.pkl"""
1582751190142793969,"""47.pkl"""
1582751192798873684,"""28.pkl"""
1582751196480749335,"""25.pkl"""
1582751199967672978,"""22.pkl"""
1582751203354256861,"""18.pkl"""
1582751207041887060,"""27.pkl"""
1582751210504315821,"""11.pkl"""
1582751214723105988,"""1.pkl"""
1582751218211299908,"""46.pkl"""
1582751221082819516,"""19.pkl"""
1582751224473721313,"""2.pkl"""
1582751230396382856,"""5.pkl"""
1582751233531128776,"""23.pkl"""
1582751237631479988,"""0.pkl"""
1582751241892152371,"""13.pkl"""
