rosbagTimestamp,data
1582751068761437434,"""start"""
1582751073309211014,"""end"""
1582751074858159549,"""start"""
1582751076661781100,"""end"""
1582751078198804085,"""start"""
1582751079979042166,"""end"""
1582751081515932009,"""start"""
1582751085831295244,"""end"""
1582751086859782015,"""start"""
1582751088515635855,"""end"""
1582751090044302834,"""start"""
1582751093019159796,"""end"""
1582751094058915040,"""start"""
1582751096936098518,"""end"""
1582751097964180268,"""start"""
1582751100138813574,"""end"""
1582751101672305175,"""start"""
1582751104522548218,"""end"""
1582751105558020808,"""start"""
1582751108759039141,"""end"""
1582751109793377222,"""start"""
1582751112609291768,"""end"""
1582751113637245569,"""start"""
1582751115643857688,"""end"""
1582751116680162638,"""start"""
1582751118195205750,"""end"""
1582751119730029348,"""start"""
1582751122246724899,"""end"""
1582751123283799492,"""start"""
1582751124947883798,"""end"""
1582751126477258889,"""start"""
1582751130950559082,"""end"""
1582751131987729128,"""start"""
1582751133568172439,"""end"""
1582751135104285625,"""start"""
1582751137369928782,"""end"""
1582751138907672050,"""start"""
1582751140704619419,"""end"""
1582751142235236728,"""start"""
1582751145006465819,"""end"""
1582751146035028955,"""start"""
1582751147941070506,"""end"""
1582751148976142948,"""start"""
1582751150592078378,"""end"""
1582751152128847494,"""start"""
1582751154395585752,"""end"""
1582751155930427687,"""start"""
1582751158312225778,"""end"""
1582751159347817789,"""start"""
1582751161348017470,"""end"""
1582751162879378500,"""start"""
1582751165398596718,"""end"""
1582751166927504002,"""start"""
1582751168183063922,"""end"""
1582751169719111860,"""start"""
1582751171191745566,"""end"""
1582751172728010307,"""start"""
1582751176019675541,"""end"""
1582751177049346513,"""start"""
1582751178388982240,"""end"""
1582751179923973288,"""start"""
1582751182405828726,"""end"""
1582751183442597869,"""start"""
1582751185523714488,"""end"""
1582751187044148040,"""start"""
1582751188608323218,"""end"""
1582751190142654143,"""start"""
1582751191259585234,"""end"""
1582751192798438117,"""start"""
1582751194944461728,"""end"""
1582751196485351020,"""start"""
1582751198429311954,"""end"""
1582751199966708184,"""start"""
1582751202314389530,"""end"""
1582751203350493983,"""start"""
1582751206016976961,"""end"""
1582751207040666901,"""start"""
1582751208967001049,"""end"""
1582751210503443608,"""start"""
1582751213685752681,"""end"""
1582751214722377971,"""start"""
1582751217172455446,"""end"""
1582751218211025459,"""start"""
1582751219554964820,"""end"""
1582751221082748749,"""start"""
1582751223439906030,"""end"""
1582751224469829896,"""start"""
1582751229359316928,"""end"""
1582751230395652970,"""start"""
1582751232493676874,"""end"""
1582751233531550286,"""start"""
1582751236595853189,"""end"""
1582751237630654904,"""start"""
1582751240865323954,"""end"""
1582751241891929455,"""start"""
1582751245333074627,"""end"""
